time,actual time,voltage,current,capacity,SoC,dQ,dv,ICA
0,6711,4.14196,-0.00108004,2684,0.789411765,,,
10,6721,3.49987,-3.3951,2684,0.789411765,,,
20,6731,3.48155,-3.39479,2674.570028,0.786638243,-9.429972,-0.01832,0.514736463
30,6741,3.46719,-3.39502,2665.139417,0.783864534,-9.430611,-0.01436,0.656727786
40,6751,3.45511,-3.3949,2655.709139,0.781090923,-9.430278,-0.01208,0.780652152
50,6761,3.44298,-3.3949,2646.278861,0.778317312,-9.430278,-0.01213,0.777434295
60,6771,3.43036,-3.39497,2636.848389,0.775543644,-9.430472,-0.01262,0.747264025
70,6781,3.41837,-3.39482,2627.418333,0.772770098,-9.430056,-0.01199,0.786493411
80,6791,3.40718,-3.39483,2617.98825,0.769996544,-9.430083,-0.01119,0.842724129
90,6801,3.3973,-3.39512,2608.557361,0.767222753,-9.430889,-0.00988,0.954543421
100,6811,3.38845,-3.39489,2599.127111,0.76444915,-9.43025,-0.00885,1.065564972
110,6821,3.38103,-3.39494,2589.696722,0.761675507,-9.430389,-0.00742,1.270941914
120,6831,3.37447,-3.39502,2580.266111,0.758901797,-9.430611,-0.00656,1.43759314
130,6841,3.36861,-3.39498,2570.835611,0.756128121,-9.4305,-0.00586,1.609300341
140,6851,3.36326,-3.39494,2561.405222,0.753354477,-9.430389,-0.00535,1.762689533
150,6861,3.35896,-3.39473,2551.975417,0.750581005,-9.429805,-0.0043,2.192977907
160,6871,3.35526,-3.39472,2542.545639,0.747807541,-9.429778,-0.0037,2.548588649
170,6881,3.35184,-3.3949,2533.115361,0.74503393,-9.430278,-0.00342,2.757391228
180,6891,3.3494,-3.39497,2523.684889,0.742260261,-9.430472,-0.00244,3.864947541
190,6901,3.34721,-3.3949,2514.254611,0.73948665,-9.430278,-0.00219,4.306063014
200,6911,3.34513,-3.39499,2504.824083,0.736712966,-9.430528,-0.00208,4.533907692
210,6921,3.34271,-3.39472,2495.394306,0.733939502,-9.429777,-0.00242,3.896602066
220,6931,3.34169,-3.39466,2485.964694,0.731166087,-9.429612,-0.00102,9.244717647
230,6941,3.34028,-3.39484,2476.534583,0.728392525,-9.430111,-0.00141,6.688021986
