time,actual time,voltage,current,capacity,SoC
0,4403,4.09736,-0.00106841,2192,0.644705882
10,4413,3.29837,-3.39485,2192,0.644705882
20,4423,3.25663,-3.39487,2182.569806,0.641932296
30,4433,3.2331,-3.3948,2173.139806,0.639158766
40,4443,3.21973,-3.3949,2163.709528,0.636385155
50,4453,3.21402,-3.39462,2154.280028,0.633611773
60,4463,3.2142,-3.3948,2144.850028,0.630838243
70,4473,3.2188,-3.39469,2135.420333,0.628064804
80,4483,3.22476,-3.39486,2125.990167,0.625291225
90,4493,3.23186,-3.39501,2116.559583,0.622517525
100,4503,3.2396,-3.39491,2107.129278,0.619743905
110,4513,3.24687,-3.39463,2097.69975,0.616970515
120,4523,3.25342,-3.39484,2088.269639,0.614196953
130,4533,3.25901,-3.39482,2078.839583,0.611423407
140,4543,3.26387,-3.39468,2069.409917,0.608649975
150,4553,3.26789,-3.39484,2059.979806,0.605876413
160,4563,3.27119,-3.3949,2050.549528,0.603102802
170,4573,3.27376,-3.39473,2041.119722,0.60032933
180,4583,3.2755,-3.39471,2031.689972,0.597555874
190,4593,3.27701,-3.39482,2022.259917,0.594782328
200,4603,3.2779,-3.39478,2012.829972,0.592008815
210,4613,3.2785,-3.39483,2003.399889,0.589235261
220,4623,3.27888,-3.39481,1993.969861,0.586461724
230,4633,3.27853,-3.39469,1984.540167,0.583688284
240,4643,3.27826,-3.39482,1975.110111,0.580914739
250,4653,3.27741,-3.39493,1965.67975,0.578141103
260,4663,3.27619,-3.39459,1956.250333,0.575367745
270,4673,3.275,-3.39473,1946.820528,0.572594273
280,4683,3.27351,-3.39486,1937.390361,0.569820694
290,4693,3.2717,-3.39473,1927.960556,0.567047222
300,4703,3.26979,-3.39481,1918.530528,0.564273685
310,4713,3.2671,-3.39487,1909.100333,0.561500098
320,4723,3.26461,-3.39478,1899.670389,0.558726585
330,4733,3.26169,-3.39488,1890.240167,0.55595299
340,4743,3.25864,-3.39478,1880.810222,0.553179477
350,4753,3.25541,-3.39497,1871.37975,0.550405809
360,4763,3.25191,-3.39481,1861.949722,0.547632271
370,4773,3.24839,-3.39496,1852.519278,0.544858611
380,4783,3.24463,-3.39477,1843.089361,0.542085106
390,4793,3.24116,-3.39468,1833.659694,0.539311675
400,4803,3.23792,-3.39474,1824.229861,0.536538194
410,4813,3.23369,-3.39472,1814.800083,0.53376473
420,4823,3.23006,-3.39473,1805.370278,0.530991258
430,4833,3.22629,-3.39485,1795.940139,0.528217688
440,4843,3.2225,-3.39481,1786.510111,0.52544415
450,4853,3.21884,-3.39492,1777.079778,0.522670523
460,4863,3.21524,-3.39493,1767.649417,0.519896887
470,4873,3.21192,-3.39486,1758.21925,0.517123309
480,4883,3.20899,-3.39482,1748.789194,0.514349763
490,4893,3.20603,-3.39476,1739.359306,0.511576266
500,4903,3.20356,-3.39452,1729.930083,0.508802966
510,4913,3.20082,-3.39489,1720.499833,0.506029363
520,4923,3.19844,-3.39482,1711.069778,0.503255817
530,4933,3.19593,-3.3949,1701.6395,0.500482206
540,4943,3.19367,-3.3947,1692.209778,0.497708758
550,4953,3.19146,-3.39477,1682.779861,0.494935253
560,4963,3.18932,-3.39457,1673.3505,0.492161912
570,4973,3.18716,-3.39494,1663.920111,0.489388268
580,4983,3.18536,-3.39474,1654.490278,0.486614788
590,4993,3.18347,-3.39476,1645.060389,0.483841291
600,5003,3.18166,-3.39469,1635.630694,0.481067851
610,5013,3.17982,-3.39476,1626.200806,0.478294355
620,5023,3.17786,-3.39475,1616.770944,0.475520866
630,5033,3.17602,-3.39504,1607.340278,0.472747141
640,5043,3.17414,-3.39488,1597.910056,0.469973546
650,5053,3.17212,-3.3948,1588.480056,0.467200016
660,5063,3.1703,-3.39458,1579.050667,0.464426667
670,5073,3.16824,-3.39467,1569.621028,0.461653243
680,5083,3.16631,-3.39509,1560.190222,0.458879477
690,5093,3.16424,-3.39482,1550.760167,0.456105931
700,5103,3.16221,-3.39496,1541.329722,0.453332271
710,5113,3.16036,-3.3947,1531.9,0.450558824
720,5123,3.15841,-3.39496,1522.469556,0.447785163
730,5133,3.1561,-3.39491,1513.03925,0.445011544
740,5143,3.15395,-3.39475,1503.609389,0.442238056
750,5153,3.15167,-3.39493,1494.179028,0.43946442
760,5163,3.1494,-3.39492,1484.748694,0.436690792
770,5173,3.14712,-3.3947,1475.318972,0.433917345
780,5183,3.14471,-3.39459,1465.889556,0.431143987
790,5193,3.14235,-3.39478,1456.459611,0.428370474
800,5203,3.14001,-3.39489,1447.029361,0.425596871
810,5213,3.13768,-3.39505,1437.598667,0.422823137
820,5223,3.13547,-3.39481,1428.168639,0.4200496
830,5233,3.13292,-3.39489,1418.738389,0.417275997
840,5243,3.13058,-3.39485,1409.30825,0.414502426
850,5253,3.12798,-3.39479,1399.878278,0.411728905
860,5263,3.12533,-3.39479,1390.448306,0.408955384
870,5273,3.12264,-3.3947,1381.018583,0.406181936
880,5283,3.12005,-3.39486,1371.588417,0.403408358
890,5293,3.11724,-3.39498,1362.157917,0.400634681
900,5303,3.11447,-3.39484,1352.727806,0.397861119
910,5313,3.11183,-3.39493,1343.297444,0.395087484
920,5323,3.10888,-3.39464,1333.867889,0.392314085
930,5333,3.10641,-3.39464,1324.438333,0.389540686
940,5343,3.10381,-3.39465,1315.00875,0.386767279
950,5353,3.10131,-3.39483,1305.578667,0.383993725
960,5363,3.09859,-3.39487,1296.148472,0.381220139
