time,actual time,voltage,current,capacity,SoC,dQ,dv,ICA,ICA_unused
0,27669,4.06346,-0.00105957,1948,0.572941176,,,,
10,27679,3.12108,-3.39509,1948,0.572941176,,,,
20,27689,3.04184,-3.39486,1938.569833,0.570167598,-9.430167,-0.07924,,0.11900766
30,27699,2.98731,-3.39474,1929.14,0.567394118,-9.429833,-0.05453,,0.172929268
40,27709,2.94702,-3.3949,1919.709722,0.564620507,-9.430278,-0.04029,,0.234060015
50,27719,2.92158,-3.39469,1910.280028,0.561847067,-9.429694,-0.02544,,0.370664072
60,27729,2.91463,-3.39479,1900.850056,0.559073546,-9.429972,-0.00695,,1.356830504
70,27739,2.92689,-3.39482,1891.42,0.5563,-9.430056,0.01226,,0.769172594
80,27749,2.9533,-3.39489,1881.98975,0.553526397,-9.43025,0.02641,,0.357071185
90,27759,2.98648,-3.39477,1872.559833,0.550752892,-9.429917,0.03318,,0.284204852
100,27769,3.01979,-3.39476,1863.129944,0.547979395,-9.429889,0.03331,,0.283094836
110,27779,3.04986,-3.39477,1853.700028,0.545205891,-9.429916,0.03007,,0.313598803
120,27789,3.0741,-3.3947,1844.270306,0.542432443,-9.429722,0.02424,,0.389014934
130,27799,3.09283,-3.39477,1834.840389,0.539658938,-9.429917,0.01873,,0.503465937
140,27809,3.11102,-3.39474,1825.410556,0.536885458,-9.429833,0.01819,,0.518407532
150,27819,3.12462,-3.39482,1815.9805,0.534111912,-9.430056,0.0136,,0.693386471
160,27829,3.13548,-3.39482,1806.550444,0.531338366,-9.430056,0.01086,,0.868329282
170,27839,3.14421,-3.39465,1797.120861,0.528564959,-9.429583,0.00873,,1.08013551
180,27849,3.15092,-3.39471,1787.691111,0.525791503,-9.42975,0.00671,,1.405327869
190,27859,3.15639,-3.39484,1778.261,0.523017941,-9.430111,0.00547,,1.723969104
200,27869,3.16051,-3.3948,1768.831,0.520244412,-9.43,0.00412,,2.288834951
210,27879,3.16371,-3.39485,1759.400861,0.517470842,-9.430139,0.0032,,2.946918437
220,27889,3.16598,-3.39477,1749.970944,0.514697337,-9.429917,0.00227,,4.154148458
230,27899,3.16717,-3.39471,1740.541194,0.511923881,-9.42975,0.00119,,7.924159664
240,27909,3.16777,-3.39472,1731.111417,0.509150417,-9.429777,0.0006,,15.716295
