time,actual time,voltage,current,capacity,SoC,dQ,dv,ICA
0,17308,4.24011,-0.00110564,3238,0.952352941,,,
10,17319,3.79309,-3.39482,3238,0.952352941,,,
20,17329,3.76656,-3.395,3228.569444,0.949579248,-9.430556,-0.02653,0.355467622
30,17339,3.74809,-3.39502,3219.138833,0.946805539,-9.430611,-0.01847,0.510590742
40,17349,3.73264,-3.3949,3209.708556,0.944031928,-9.430277,-0.01545,0.610373916
50,17359,3.72051,-3.39475,3200.278694,0.94125844,-9.429862,-0.01213,0.7774
60,17370,3.71051,-3.39495,3190.848278,0.938484788,-9.430416,-0.01,0.9430416
70,17380,3.70184,-3.39481,3181.41825,0.93571125,-9.430028,-0.00867,1.087661822
80,17390,3.69454,-3.39484,3171.988139,0.932937688,-9.430111,-0.0073,1.291796027
90,17400,3.68864,-3.39508,3162.557361,0.93016393,-9.430778,-0.0059,1.598436949
100,17412,3.68355,-3.39491,3153.127056,0.92739031,-9.430305,-0.00509,1.852712181
110,17422,3.67836,-3.39522,3143.695889,0.924616438,-9.431167,-0.00519,1.817180539
120,17432,3.67394,-3.3949,3134.265611,0.921842827,-9.430278,-0.00442,2.133547059
130,17443,3.67031,-3.39492,3124.835278,0.919069199,-9.430333,-0.00363,2.597887879
140,17454,3.66642,-3.39498,3115.404778,0.916295523,-9.4305,-0.00389,2.424293059
150,17464,3.66306,-3.39481,3105.97475,0.913521985,-9.430028,-0.00336,2.806555952
160,17474,3.6602,-3.39479,3096.544778,0.910748464,-9.429972,-0.00286,3.297193007
170,17484,3.65782,-3.39488,3087.114556,0.907974869,-9.430222,-0.00238,3.962278151
180,17494,3.65548,-3.39517,3077.683528,0.905201038,-9.431028,-0.00234,4.030353846
190,17504,3.65323,-3.39481,3068.2535,0.9024275,-9.430028,-0.00225,4.191123556
200,17515,3.65167,-3.39483,3058.823417,0.899653946,-9.430083,-0.00156,6.044925
210,17527,3.64944,-3.39482,3049.393361,0.8968804,-9.430056,-0.00223,4.228724664
220,17537,3.64717,-3.39466,3039.96375,0.894106985,-9.429611,-0.00227,4.154013656
230,17547,3.64523,-3.39493,3030.533389,0.89133335,-9.430361,-0.00194,4.861010825
240,17557,3.64337,-3.39479,3021.103417,0.888559828,-9.429972,-0.00186,5.069877419
250,17568,3.64159,-3.39497,3011.672944,0.88578616,-9.430473,-0.00178,5.298018539
260,17578,3.63985,-3.39497,3002.242472,0.883012492,-9.430472,-0.00174,5.419811494
270,17588,3.63802,-3.39483,2992.812389,0.880238938,-9.430083,-0.00183,5.15305082
280,17598,3.6358,-3.39493,2983.382028,0.877465302,-9.430361,-0.00222,4.24791036
290,17608,3.63462,-3.39492,2973.951694,0.874691675,-9.430334,-0.00118,7.991808475
300,17618,3.63295,-3.39497,2964.521222,0.871918007,-9.430472,-0.00167,5.646989222
310,17628,3.63137,-3.39442,2955.092278,0.869144788,-9.428944,-0.00158,5.967686076
320,17638,3.62959,-3.39478,2945.662333,0.866371275,-9.429945,-0.00178,5.29772191
330,17648,3.62794,-3.39473,2936.232528,0.863597802,-9.429805,-0.00165,5.715033333
340,17658,3.62632,-3.39497,2926.802056,0.860824134,-9.430472,-0.00162,5.821279012
350,17668,3.62465,-3.39487,2917.371861,0.858050547,-9.430195,-0.00167,5.646823353
360,17678,3.62304,-3.39501,2907.941278,0.855276846,-9.430583,-0.00161,5.857504969
370,17688,3.62134,-3.395,2898.510722,0.852503154,-9.430556,-0.0017,5.547385882
380,17698,3.6197,-3.39492,2889.080389,0.849729526,-9.430333,-0.00164,5.750203049
390,17709,3.61785,-3.39483,2879.650306,0.846955972,-9.430083,-0.00185,5.097342162
400,17719,3.61613,-3.39495,2870.219889,0.84418232,-9.430417,-0.00172,5.482800581
410,17729,3.61464,-3.39501,2860.789306,0.841408619,-9.430583,-0.00149,6.329250336
420,17740,3.61289,-3.39502,2851.358694,0.83863491,-9.430612,-0.00175,5.388921143
430,17750,3.61108,-3.39501,2841.928111,0.835861209,-9.430583,-0.00181,5.210266851
440,17760,3.60937,-3.39487,2832.497917,0.833087623,-9.430194,-0.00171,5.514733333
450,17770,3.60775,-3.39475,2823.068056,0.830314134,-9.429861,-0.00162,5.820901852
460,17780,3.60577,-3.39468,2813.638389,0.827540703,-9.429667,-0.00198,4.762458081
470,17790,3.604,-3.39482,2804.208333,0.824767157,-9.430056,-0.00177,5.327715254
480,17800,3.60253,-3.39502,2794.777722,0.821993448,-9.430611,-0.00147,6.415381633
490,17810,3.60085,-3.39496,2785.347278,0.819219788,-9.430444,-0.00168,5.613359524
500,17820,3.59902,-3.39491,2775.916972,0.816446168,-9.430306,-0.00183,5.153172678
510,17832,3.59713,-3.39489,2766.486722,0.813672565,-9.43025,-0.00189,4.989550265
520,17842,3.59491,-3.39495,2757.056306,0.810898913,-9.430416,-0.00222,4.247935135
530,17852,3.59319,-3.39491,2747.626,0.808125294,-9.430306,-0.00172,5.482736047
540,17862,3.59143,-3.39496,2738.195556,0.805351634,-9.430444,-0.00176,5.358206818
550,17872,3.58957,-3.39475,2728.765694,0.802578145,-9.429862,-0.00186,5.06981828
560,17882,3.58754,-3.39505,2719.335,0.799804412,-9.430694,-0.00203,4.645662069
570,17892,3.58534,-3.39504,2709.904333,0.797030686,-9.430667,-0.0022,4.286666818
580,17902,3.58323,-3.3951,2700.4735,0.794256912,-9.430833,-0.00211,4.4695891
590,17912,3.581,-3.39491,2691.043194,0.791483292,-9.430306,-0.00223,4.228836771
600,17923,3.57858,-3.39463,2681.613667,0.788709902,-9.429527,-0.00242,3.89649876
610,17933,3.57617,-3.39473,2672.183861,0.78593643,-9.429806,-0.00241,3.912782573
620,17944,3.5737,-3.39495,2662.753444,0.783162778,-9.430417,-0.00247,3.817982591
630,17954,3.57123,-3.39497,2653.322972,0.780389109,-9.430472,-0.00247,3.818004858
640,17964,3.56879,-3.39505,2643.892278,0.777615376,-9.430694,-0.00244,3.865038525
650,17974,3.5665,-3.39476,2634.462389,0.774841879,-9.429889,-0.00229,4.117855459
660,17985,3.56345,-3.39473,2625.032583,0.772068407,-9.429806,-0.00305,3.091739672
670,17995,3.56114,-3.39484,2615.602472,0.769294845,-9.430111,-0.00231,4.082299134
680,18005,3.55764,-3.3949,2606.172194,0.766521234,-9.430278,-0.0035,2.694365143
690,18016,3.55531,-3.395,2596.741639,0.763747541,-9.430555,-0.00233,4.047448498
700,18026,3.55242,-3.39487,2587.311444,0.760973954,-9.430195,-0.00289,3.263043253
710,18036,3.54955,-3.39495,2577.881028,0.758200302,-9.430416,-0.00287,3.285859233
720,18046,3.5469,-3.39485,2568.450889,0.755426732,-9.430139,-0.00265,3.558543019
730,18056,3.54423,-3.39508,2559.020111,0.752652974,-9.430778,-0.00267,3.532126592
740,18066,3.54103,-3.39485,2549.589972,0.749879404,-9.430139,-0.0032,2.946918437
750,18076,3.53796,-3.39491,2540.159667,0.747105784,-9.430305,-0.00307,3.071760586
760,18086,3.53497,-3.39496,2530.729222,0.744332124,-9.430445,-0.00299,3.153994983
770,18096,3.53201,-3.3948,2521.299222,0.741558595,-9.43,-0.00296,3.185810811
780,18107,3.52888,-3.39489,2511.868972,0.738784992,-9.43025,-0.00313,3.012859425
790,18117,3.52583,-3.39453,2502.439722,0.736011683,-9.42925,-0.00305,3.091557377
800,18127,3.52276,-3.39475,2493.009861,0.733238194,-9.429861,-0.00307,3.071615961
810,18137,3.51958,-3.39483,2483.579778,0.730464641,-9.430083,-0.00318,2.965434906
820,18147,3.51636,-3.39484,2474.149667,0.727691078,-9.430111,-0.00322,2.928605901
830,18157,3.51344,-3.39499,2464.719139,0.724917394,-9.430528,-0.00292,3.229632877
840,18167,3.51042,-3.39484,2455.289028,0.722143832,-9.430111,-0.00302,3.122553311
850,18177,3.50759,-3.39502,2445.858417,0.719370123,-9.430611,-0.00283,3.332371378
860,18187,3.50459,-3.39494,2436.428028,0.716596479,-9.430389,-0.003,3.143463
870,18197,3.5016,-3.39491,2426.997722,0.713822859,-9.430306,-0.00299,3.153948495
880,18207,3.49856,-3.39488,2417.5675,0.711049265,-9.430222,-0.00304,3.102046711
890,18217,3.49555,-3.39469,2408.137806,0.708275825,-9.429694,-0.00301,3.132788704
900,18227,3.49269,-3.39497,2398.707333,0.705502157,-9.430473,-0.00286,3.297368182
910,18237,3.48966,-3.39498,2389.276833,0.70272848,-9.4305,-0.00303,3.112376238
920,18247,3.48683,-3.39484,2379.846722,0.699954918,-9.430111,-0.00283,3.3321947
930,18257,3.48379,-3.39489,2370.416472,0.697181315,-9.43025,-0.00304,3.102055921
940,18267,3.48093,-3.39485,2360.986333,0.694407745,-9.430139,-0.00286,3.297251399
950,18277,3.47805,-3.39512,2351.555444,0.691633954,-9.430889,-0.00288,3.274614236
960,18287,3.47547,-3.39501,2342.124861,0.688860253,-9.430583,-0.00258,3.655264729
970,18297,3.47288,-3.39487,2332.694667,0.686086667,-9.430194,-0.00259,3.641001544
980,18307,3.47009,-3.39498,2323.264167,0.68331299,-9.4305,-0.00279,3.380107527
990,18317,3.46731,-3.39474,2313.834333,0.68053951,-9.429834,-0.00278,3.392026619
1000,18327,3.4646,-3.39491,2304.404028,0.677765891,-9.430305,-0.00271,3.479817343
1010,18337,3.46202,-3.39502,2294.973417,0.674992181,-9.430611,-0.00258,3.655275581
1020,18347,3.4591,-3.39488,2285.543194,0.672218587,-9.430223,-0.00292,3.229528425
1030,18357,3.45653,-3.39489,2276.112944,0.669444984,-9.43025,-0.00257,3.669357977
1040,18367,3.4541,-3.39464,2266.683389,0.666671585,-9.429555,-0.00243,3.880475309
1050,18377,3.45168,-3.39479,2257.253417,0.663898064,-9.429972,-0.00242,3.896682645
1060,18387,3.44939,-3.3948,2247.823417,0.661124534,-9.43,-0.00229,4.11790393
1070,18397,3.44649,-3.39492,2238.393083,0.658350907,-9.430334,-0.0029,3.25183931
1080,18407,3.44462,-3.39505,2228.962389,0.655577173,-9.430694,-0.00187,5.043151872
1090,18417,3.44216,-3.39485,2219.53225,0.652803603,-9.430139,-0.00246,3.833389837
1100,18427,3.43974,-3.39482,2210.102194,0.650030057,-9.430056,-0.00242,3.896717355
1110,18437,3.43724,-3.39482,2200.672139,0.647256511,-9.430055,-0.0025,3.772022
1120,18447,3.43484,-3.39469,2191.242444,0.644483072,-9.429695,-0.0024,3.929039583
1130,18457,3.43251,-3.39473,2181.812639,0.6417096,-9.429805,-0.00233,4.047126609
1140,18467,3.42994,-3.39479,2172.382667,0.638936078,-9.429972,-0.00257,3.669249805
1150,18477,3.42771,-3.39493,2162.952306,0.636162443,-9.430361,-0.00223,4.228861435
1160,18487,3.42554,-3.39482,2153.52225,0.633388897,-9.430056,-0.00217,4.345647926
1170,18497,3.42349,-3.3948,2144.09225,0.630615368,-9.43,-0.00205,4.6
1180,18507,3.42125,-3.39493,2134.661889,0.627841732,-9.430361,-0.00224,4.209982589
1190,18517,3.41907,-3.39487,2125.231694,0.625068145,-9.430195,-0.00218,4.325777523
1200,18527,3.41674,-3.39503,2115.801056,0.622294428,-9.430638,-0.00233,4.04748412
1210,18537,3.41444,-3.3949,2106.370778,0.619520817,-9.430278,-0.0023,4.10012087
1220,18547,3.41228,-3.39501,2096.940194,0.616747116,-9.430584,-0.00216,4.366011111
1230,18557,3.40969,-3.395,2087.509639,0.613973423,-9.430555,-0.00259,3.641140927
1240,18567,3.40737,-3.39479,2078.079667,0.611199902,-9.429972,-0.00232,4.064643103
1250,18577,3.40505,-3.39472,2068.649889,0.608426438,-9.429778,-0.00232,4.064559483
1260,18587,3.40283,-3.39468,2059.220222,0.605653007,-9.429667,-0.00222,4.247597748
1270,18597,3.40063,-3.39455,2049.790917,0.602879681,-9.429305,-0.0022,4.286047727
1280,18607,3.39839,-3.39505,2040.360222,0.600105948,-9.430695,-0.00224,4.210131696
1290,18617,3.39575,-3.39498,2030.929722,0.597332271,-9.4305,-0.00264,3.572159091
1300,18627,3.39355,-3.39473,2021.499917,0.594558799,-9.429805,-0.0022,4.286275
1310,18637,3.39132,-3.39476,2012.070028,0.591785302,-9.429889,-0.00223,4.228649776
1320,18647,3.3888,-3.39494,2002.639639,0.589011658,-9.430389,-0.00252,3.742217857
1330,18657,3.38653,-3.39467,1993.21,0.586238235,-9.429639,-0.00227,4.154025991
1340,18667,3.38405,-3.39486,1983.779833,0.583464657,-9.430167,-0.00248,3.802486694
1350,18677,3.38174,-3.39476,1974.349944,0.58069116,-9.429889,-0.00231,4.08220303
1360,18687,3.37934,-3.39473,1964.920139,0.577917688,-9.429805,-0.0024,3.929085417
1370,18697,3.37685,-3.39486,1955.489972,0.575144109,-9.430167,-0.00249,3.787215663
1380,18707,3.37484,-3.39478,1946.060028,0.572370596,-9.429944,-0.00201,4.691514428
1390,18717,3.37229,-3.39467,1936.630389,0.569597173,-9.429639,-0.00255,3.697897647
1400,18727,3.36983,-3.39495,1927.199972,0.566823521,-9.430417,-0.00246,3.833502846
1410,18737,3.36726,-3.39511,1917.769111,0.564049739,-9.430861,-0.00257,3.66959572
1420,18747,3.36464,-3.39508,1908.338333,0.56127598,-9.430778,-0.00262,3.599533588
1430,18757,3.3621,-3.39499,1898.907806,0.558502296,-9.430527,-0.00254,3.712805906
1440,18767,3.35931,-3.39482,1889.47775,0.55572875,-9.430056,-0.00279,3.379948387
1450,18777,3.35704,-3.39458,1880.048361,0.5529554,-9.429389,-0.00227,4.153915859
1460,18787,3.3543,-3.3948,1870.618361,0.550181871,-9.43,-0.00274,3.441605839
1470,18797,3.35178,-3.39488,1861.188139,0.547408276,-9.430222,-0.00252,3.742151587
1480,18807,3.3492,-3.3949,1851.757861,0.544634665,-9.430278,-0.00258,3.655146512
1490,18817,3.34682,-3.39494,1842.327472,0.541861021,-9.430389,-0.00238,3.962348319
1500,18827,3.34415,-3.39476,1832.897583,0.539087525,-9.429889,-0.00267,3.531793633
1510,18837,3.34145,-3.39493,1823.467222,0.536313889,-9.430361,-0.0027,3.492726296
1520,18847,3.33875,-3.39499,1814.036694,0.533540204,-9.430528,-0.0027,3.492788148
1530,18857,3.33587,-3.39496,1804.60625,0.530766544,-9.430444,-0.00288,3.274459722
1540,18867,3.33324,-3.39491,1795.175944,0.527992925,-9.430306,-0.00263,3.585667681
1550,18877,3.3304,-3.3947,1785.746222,0.525219477,-9.429722,-0.00284,3.320324648
1560,18887,3.32751,-3.39498,1776.315722,0.522445801,-9.4305,-0.00289,3.263148789
1570,18897,3.32477,-3.39478,1766.885778,0.519672288,-9.429944,-0.00274,3.441585401
1580,18907,3.32204,-3.39494,1757.455389,0.516898644,-9.430389,-0.00273,3.454354945
1590,18917,3.31928,-3.39489,1748.025139,0.514125041,-9.43025,-0.00276,3.416757246
1600,18927,3.31653,-3.39481,1738.595111,0.511351503,-9.430028,-0.00275,3.429101091
1610,18937,3.31383,-3.39484,1729.165,0.508577941,-9.430111,-0.0027,3.492633704
