time,actual time,voltage,current,capacity,SoC,dQ,dv,ICA
0,11094,4.07188,-0.00106177,3490,0.698,,,
10,11104,3.47405,-4.99831,3490,0.698,,,
20,11114,3.44343,-4.99834,3476.115722,0.695223144,-13.884278,-0.03062,0.45343821
30,11124,3.42317,-4.9984,3462.231278,0.692446256,-13.884444,-0.02026,0.685313129
40,11134,3.40851,-4.99833,3448.347028,0.689669406,-13.88425,-0.01466,0.947083902
50,11144,3.39725,-4.99828,3434.462917,0.686892583,-13.884111,-0.01126,1.233047158
60,11154,3.38804,-4.99828,3420.578806,0.684115761,-13.884111,-0.00921,1.507503909
70,11164,3.38009,-4.9983,3406.694639,0.681338928,-13.884167,-0.00795,1.746436101
80,11174,3.37333,-4.99841,3392.810167,0.678562033,-13.884472,-0.00676,2.053915976
90,11184,3.36727,-4.9981,3378.926556,0.675785311,-13.883611,-0.00606,2.291024917
100,11194,3.36161,-4.99822,3365.042611,0.673008522,-13.883945,-0.00566,2.452993816
110,11204,3.35673,-4.99832,3351.158389,0.670231678,-13.884222,-0.00488,2.845127459
120,11214,3.35162,-4.99852,3337.273611,0.667454722,-13.884778,-0.00511,2.717177691
130,11224,3.34673,-4.99834,3323.389333,0.664677867,-13.884278,-0.00489,2.839320654
140,11234,3.34218,-4.99807,3309.505806,0.661901161,-13.883527,-0.00455,3.051324615
150,11244,3.33791,-4.99823,3295.621833,0.659124367,-13.883973,-0.00427,3.251515925
160,11254,3.33502,-4.99823,3281.737861,0.656347572,-13.883972,-0.00289,4.804142561
170,11264,3.33199,-4.9984,3267.853417,0.653570683,-13.884444,-0.00303,4.582324752
180,11274,3.32911,-4.99837,3253.969056,0.650793811,-13.884361,-0.00288,4.820958681
190,11284,3.32652,-4.99826,3240.085,0.648017,-13.884056,-0.00259,5.360639382
200,11294,3.32403,-4.99816,3226.201222,0.645240244,-13.883778,-0.00249,5.575814458
210,11304,3.32153,-4.99824,3212.317222,0.642463444,-13.884,-0.0025,5.5536
220,11315,3.3192,-4.99824,3198.433222,0.639686644,-13.884,-0.00233,5.958798283
230,11325,3.31715,-4.99826,3184.549167,0.636909833,-13.884055,-0.00205,6.772709756
240,11335,3.31502,-4.99833,3170.664917,0.634132983,-13.88425,-0.00213,6.51842723
250,11345,3.31288,-4.99808,3156.781361,0.631356272,-13.883556,-0.00214,6.487642991
260,11355,3.31124,-4.9983,3142.897194,0.628579439,-13.884167,-0.00164,8.465955488
270,11365,3.3094,-4.99826,3129.013139,0.625802628,-13.884055,-0.00184,7.545682065
280,11375,3.30752,-4.99802,3115.12975,0.62302595,-13.883389,-0.00188,7.384781383
290,11385,3.30581,-4.99835,3101.245444,0.620249089,-13.884306,-0.00171,8.119477193
300,11395,3.30383,-4.9983,3087.361278,0.617472256,-13.884166,-0.00198,7.012205051
310,11405,3.30206,-4.99834,3073.477,0.6146954,-13.884278,-0.00177,7.844224859
320,11415,3.30036,-4.99825,3059.592972,0.611918594,-13.884028,-0.0017,8.167075294
330,11425,3.29847,-4.9984,3045.708528,0.609141706,-13.884444,-0.00189,7.346266667
340,11435,3.2967,-4.99836,3031.824194,0.606364839,-13.884334,-0.00177,7.844256497
350,11445,3.29486,-4.99835,3017.939889,0.603587978,-13.884305,-0.00184,7.545817935
360,11455,3.293,-4.99834,3004.055611,0.600811122,-13.884278,-0.00186,7.464665591
