time,actual time,voltage,current,capacity,SoC,dQ,dv,ICA,
0,15333,3.9992,-0.00104282,2407,0.4814,,,,
10,15343,3.01048,-4.99839,2407,0.4814,,,,
20,15353,2.93395,-4.99815,2393.11625,0.47862325,-13.88375,-0.07653,,0.181415785
30,15363,2.89046,-4.99816,2379.232472,0.475846494,-13.883778,-0.04349,,0.319240699
40,15373,2.86066,-4.99819,2365.348611,0.473069722,-13.883861,-0.0298,,0.465901376
50,15383,2.83887,-4.99808,2351.465056,0.470293011,-13.883555,-0.02179,,0.637152593
60,15393,2.82449,-4.99809,2337.581472,0.467516294,-13.883584,-0.01438,,0.96547872
70,15403,2.81803,-4.99835,2323.697167,0.464739433,-13.884305,-0.00646,,2.14927322
80,15413,2.81968,-4.99832,2309.812944,0.461962589,-13.884223,0.00165,,8.414680606
90,15423,2.82668,-4.99801,2295.929583,0.459185917,-13.883361,0.007,,1.983337286
100,15433,2.83791,-4.99803,2282.046167,0.456409233,-13.883416,0.01123,,1.236279252
110,15443,2.85263,-4.99823,2268.162194,0.453632439,-13.883973,0.01472,,0.943204687
120,15453,2.86836,-4.99818,2254.278361,0.450855672,-13.883833,0.01573,,0.882634011
130,15463,2.8821,-4.99814,2240.394639,0.448078928,-13.883722,0.01374,,1.010460116
140,15473,2.89394,-4.998,2226.511306,0.445302261,-13.883333,0.01184,,1.172578801
150,15483,2.90431,-4.9983,2212.627139,0.442525428,-13.884167,0.01037,,1.338878206
160,15493,2.91282,-4.99833,2198.742889,0.439748578,-13.88425,0.00851,,1.631521739
170,15503,2.9203,-4.99815,2184.859139,0.436971828,-13.88375,0.00748,,1.85611631
180,15513,2.92711,-4.99815,2170.975389,0.434195078,-13.88375,0.00681,,2.038729809
190,15523,2.93307,-4.9984,2157.090944,0.431418189,-13.884445,0.00596,,2.329604866
200,15533,2.93798,-4.9984,2143.2065,0.4286413,-13.884444,0.00491,,2.827789002
210,15543,2.94224,-4.99814,2129.322778,0.425864556,-13.883722,0.00426,,3.259089671
220,15553,2.94583,-4.99805,2115.439306,0.423087861,-13.883472,0.00359,,3.867262396
230,15563,2.94848,-4.9984,2101.554861,0.420310972,-13.884445,0.00265,,5.239413208
240,15573,2.95042,-4.99826,2087.670806,0.417534161,-13.884055,0.00194,,7.156729381
250,15583,2.95205,-4.99846,2073.786194,0.414757239,-13.884612,0.00163,,8.518166871
260,15593,2.95333,-4.99821,2059.902278,0.411980456,-13.883916,0.00128,,10.84680938
270,15603,2.95385,-4.99813,2046.018583,0.409203717,-13.883695,0.00052,,26.69941346
280,15613,2.95408,-4.9982,2032.134694,0.406426939,-13.883889,0.00023,,
290,15623,2.95426,-4.99821,2018.250778,0.403650156,-13.883916,0.00018,,
300,15633,2.95413,-4.99836,2004.366444,0.400873289,-13.884334,-0.00013,,
310,15643,2.95377,-4.99836,1990.482111,0.398096422,-13.884333,-0.00036,,
320,15653,2.95334,-4.99807,1976.598583,0.395319717,-13.883528,-0.00043,32.28727442,
330,15663,2.95299,-4.99832,1962.714361,0.392542872,-13.884222,-0.00035,,
340,15673,2.95264,-4.99826,1948.830306,0.389766061,-13.884055,-0.00035,,
350,15683,2.9522,-4.99811,1934.946667,0.386989333,-13.883639,-0.00044,31.553725,
360,15693,2.9512,-4.99837,1921.062306,0.384212461,-13.884361,-0.001,13.884361,
370,15703,2.95029,-4.99815,1907.178556,0.381435711,-13.88375,-0.00091,15.25686813,
380,15713,2.9492,-4.99821,1893.294639,0.378658928,-13.883917,-0.00109,12.73753853,
390,15723,2.9482,-4.99824,1879.410639,0.375882128,-13.884,-0.001,13.884,
400,15733,2.94675,-4.99826,1865.526583,0.373105317,-13.884056,-0.00145,9.575211034,
410,15743,2.94556,-4.99797,1851.643333,0.370328667,-13.88325,-0.00119,11.66659664,
420,15753,2.94429,-4.998,1837.76,0.367552,-13.883333,-0.00127,10.93175827,
