time,actual time,voltage,current,capacity,SoC,dQ,dv,ICA
0,21070,4.11181,-0.00107218,4426,0.8852,,,
10,21080,3.6028,-4.9983,4426,0.8852,,,
20,21090,3.58602,-4.99871,4412.114694,0.882422939,-13.885306,-0.01678,0.827491418
30,21100,3.57559,-4.99836,4398.230361,0.879646072,-13.884333,-0.01043,1.331192042
40,21110,3.56808,-4.99818,4384.346528,0.876869306,-13.883833,-0.00751,1.848712783
50,21121,3.56233,-4.99856,4370.461639,0.874092328,-13.884889,-0.00575,2.414763304
60,21131,3.55708,-4.9984,4356.577194,0.871315439,-13.884445,-0.00525,2.64465619
70,21141,3.55285,-4.99838,4342.692806,0.868538561,-13.884388,-0.00423,3.282361229
80,21151,3.54921,-4.99841,4328.808333,0.865761667,-13.884473,-0.00364,3.814415659
90,21161,3.54598,-4.99857,4314.923417,0.862984683,-13.884916,-0.00323,4.298735604
100,21171,3.54247,-4.9984,4301.038972,0.860207794,-13.884445,-0.00351,3.955682336
110,21181,3.53951,-4.99851,4287.154222,0.857430844,-13.88475,-0.00296,4.690793919
120,21191,3.53666,-4.99844,4273.269667,0.854653933,-13.884555,-0.00285,4.871773684
130,21201,3.53387,-4.99839,4259.38525,0.85187705,-13.884417,-0.00279,4.976493548
140,21211,3.53142,-4.99855,4245.500389,0.849100078,-13.884861,-0.00245,5.667290204
150,21221,3.52903,-4.99814,4231.616667,0.846323333,-13.883722,-0.00239,5.809088703
160,21231,3.52674,-4.99822,4217.732722,0.843546544,-13.883945,-0.00229,6.062858079
170,21241,3.5246,-4.99821,4203.848806,0.840769761,-13.883916,-0.00214,6.487811215
180,21251,3.52265,-4.99836,4189.964472,0.837992894,-13.884334,-0.00195,7.120171282
190,21261,3.52089,-4.9985,4176.07975,0.83521595,-13.884722,-0.00176,7.889046591
200,21271,3.51905,-4.99845,4162.195167,0.832439033,-13.884583,-0.00184,7.545969022
210,21281,3.51707,-4.99843,4148.310639,0.829662128,-13.884528,-0.00198,7.012387879
220,21291,3.51523,-4.99839,4134.426222,0.826885244,-13.884417,-0.00184,7.545878804
230,21301,3.5133,-4.99821,4120.542306,0.824108461,-13.883916,-0.00193,7.19373886
240,21311,3.51136,-4.99823,4106.658333,0.821331667,-13.883973,-0.00194,7.156687113
250,21321,3.50946,-4.99826,4092.774278,0.818554856,-13.884055,-0.0019,7.307397368
260,21331,3.50774,-4.99831,4078.890083,0.815778017,-13.884195,-0.00172,8.072206395
270,21341,3.50581,-4.99827,4065.006,0.8130012,-13.884083,-0.00193,7.193825389
280,21351,3.50401,-4.9982,4051.122111,0.810224422,-13.883889,-0.0018,7.713271667
290,21361,3.50223,-4.99835,4037.237806,0.807447561,-13.884305,-0.00178,7.800171348
300,21371,3.5005,-4.99839,4023.353389,0.804670678,-13.884417,-0.00173,8.025674566
310,21381,3.4988,-4.99829,4009.46925,0.80189385,-13.884139,-0.0017,8.167140588
320,21391,3.49683,-4.99821,3995.585333,0.799117067,-13.883917,-0.00197,7.047673604
330,21401,3.4949,-4.99813,3981.701639,0.796340328,-13.883694,-0.00193,7.193623834
340,21411,3.49303,-4.99823,3967.817667,0.793563533,-13.883972,-0.00187,7.424583957
350,21421,3.491,-4.9984,3953.933222,0.790786644,-13.884445,-0.00203,6.839628079
360,21431,3.48895,-4.99837,3940.048861,0.788009772,-13.884361,-0.00205,6.772859024
370,21441,3.48694,-4.99839,3926.164444,0.785232889,-13.884417,-0.00201,6.907670149
380,21451,3.48496,-4.99844,3912.279889,0.782455978,-13.884555,-0.00198,7.012401515
390,21461,3.48284,-4.99824,3898.395889,0.779679178,-13.884,-0.00212,6.549056604
400,21471,3.48082,-4.99843,3884.511361,0.776902272,-13.884528,-0.00202,6.873528713
410,21481,3.4789,-4.99839,3870.626944,0.774125389,-13.884417,-0.00192,7.231467187
420,21491,3.47682,-4.99838,3856.742556,0.771348511,-13.884388,-0.00208,6.675186538
430,21501,3.47472,-4.99824,3842.858556,0.768571711,-13.884,-0.0021,6.611428571
440,21511,3.47235,-4.99849,3828.973861,0.765794772,-13.884695,-0.00237,5.858521097
450,21521,3.47,-4.99848,3815.089194,0.763017839,-13.884667,-0.00235,5.908368936
460,21531,3.46769,-4.99841,3801.204722,0.760240944,-13.884472,-0.00231,6.010593939
470,21541,3.46516,-4.99834,3787.320444,0.757464089,-13.884278,-0.00253,5.487856917
480,21551,3.46274,-4.99825,3773.436417,0.754687283,-13.884027,-0.00242,5.73720124
