time,actual time,voltage,current,capacity,SoC
0,13500,3.58855,-4.49704,3664,0.814222222
10,13510,3.56948,-4.49699,3651.508361,0.811446302
20,13520,3.55737,-4.49682,3639.017194,0.808670488
30,13530,3.54791,-4.4967,3626.526361,0.805894747
40,13540,3.54006,-4.49679,3614.035278,0.803118951
50,13550,3.53304,-4.49683,3601.544083,0.80034313
60,13560,3.52669,-4.49681,3589.052944,0.797567321
70,13570,3.52077,-4.49645,3576.562806,0.794791735
80,13580,3.51451,-4.49678,3564.07175,0.792015944
90,13590,3.50951,-4.49676,3551.58075,0.789240167
100,13600,3.50419,-4.49678,3539.089694,0.786464377
110,13610,3.49873,-4.49654,3526.599306,0.783688735
120,13620,3.49313,-4.49664,3514.108639,0.780913031
130,13630,3.48738,-4.49654,3501.61825,0.778137389
140,13640,3.48168,-4.49657,3489.127778,0.775361728
150,13650,3.47607,-4.49658,3476.637278,0.772586062
160,13660,3.47017,-4.49653,3464.146917,0.769810426
170,13670,3.46421,-4.4966,3451.656361,0.767034747
180,13680,3.4583,-4.4966,3439.165806,0.764259068
190,13690,3.45256,-4.49667,3426.675056,0.761483346
200,13700,3.44694,-4.49652,3414.184722,0.758707716
210,13710,3.44154,-4.49675,3401.69375,0.755931944
220,13720,3.43566,-4.49657,3389.203278,0.753156284
230,13730,3.4301,-4.49663,3376.712639,0.750380586
240,13740,3.42476,-4.4966,3364.222083,0.747604907
250,13750,3.41951,-4.49681,3351.730944,0.744829099
260,13760,3.41443,-4.4967,3339.240111,0.742053358
270,13770,3.40958,-4.49657,3326.749639,0.739277698
280,13780,3.4051,-4.49675,3314.258667,0.736501926
290,13790,3.40068,-4.49682,3301.7675,0.733726111
300,13800,3.3969,-4.49659,3289.276972,0.730950438
310,13810,3.39323,-4.4967,3276.786139,0.728174698
320,13820,3.38947,-4.49659,3264.295611,0.725399025
330,13830,3.38604,-4.49663,3251.804972,0.722623327
340,13840,3.38287,-4.49661,3239.314389,0.719847642
350,13850,3.37977,-4.49682,3226.823222,0.717071827
360,13860,3.37686,-4.49679,3214.332139,0.714296031
370,13870,3.3742,-4.4966,3201.841583,0.711520352
380,13880,3.37161,-4.49694,3189.350083,0.708744463
390,13890,3.36903,-4.4969,3176.858694,0.705968599
400,13900,3.36675,-4.49679,3164.367611,0.703192802
410,13910,3.36462,-4.49675,3151.876639,0.700417031
420,13920,3.36261,-4.49686,3139.385361,0.697641191
430,13930,3.36046,-4.4965,3126.895083,0.694865574
440,13940,3.35827,-4.49652,3114.40475,0.692089944
450,13950,3.35629,-4.4967,3101.913917,0.689314204
460,13960,3.3544,-4.49665,3089.423222,0.686538494
470,13970,3.3525,-4.4965,3076.932944,0.683762877
480,13980,3.35061,-4.49668,3064.442167,0.680987148
490,13990,3.34841,-4.49679,3051.951083,0.678211352
500,14000,3.3469,-4.49678,3039.460028,0.675435562
510,14010,3.34514,-4.49675,3026.969056,0.67265979
520,14020,3.34347,-4.49669,3014.47825,0.669884056
530,14030,3.34175,-4.49658,3001.98775,0.667108389
540,14040,3.33992,-4.49659,2989.497222,0.664332716
550,14050,3.33825,-4.49659,2977.006694,0.661557043
560,14060,3.33658,-4.49662,2964.516083,0.658781352
570,14070,3.33478,-4.49676,2952.025083,0.656005574
580,14080,3.33319,-4.49678,2939.534028,0.653229784
590,14090,3.33122,-4.49676,2927.043028,0.650454006
600,14100,3.32976,-4.49678,2914.551972,0.647678216
610,14110,3.32788,-4.4965,2902.061694,0.644902599
620,14120,3.32632,-4.49664,2889.571028,0.642126895
630,14130,3.32463,-4.49676,2877.080028,0.639351117
640,14140,3.32281,-4.49664,2864.589361,0.636575414
