time,actual time,voltage,current,capacity,SoC
0,22480,3.77901,-4.49679,4489,0.997555556
10,22490,3.76637,-4.49685,4476.50875,0.994779722
20,22500,3.75713,-4.4969,4464.017361,0.992003858
30,22510,3.74951,-4.49686,4451.526083,0.989228019
40,22520,3.74292,-4.4967,4439.03525,0.986452278
50,22530,3.73638,-4.49662,4426.544639,0.983676586
60,22540,3.7307,-4.49674,4414.053694,0.980900821
70,22550,3.72565,-4.49679,4401.562611,0.978125025
80,22560,3.72069,-4.49693,4389.071139,0.975349142
90,22570,3.71614,-4.49677,4376.580111,0.972573358
100,22580,3.71161,-4.49679,4364.089028,0.969797562
110,22590,3.70715,-4.49672,4351.598139,0.967021809
120,22600,3.70319,-4.4968,4339.107028,0.964246006
130,22610,3.69939,-4.49659,4326.6165,0.961470333
140,22620,3.69569,-4.4967,4314.125667,0.958694593
150,22630,3.69183,-4.49671,4301.634806,0.955918846
160,22640,3.68804,-4.49654,4289.144417,0.953143204
170,22650,3.68445,-4.49674,4276.653472,0.950367438
180,22660,3.68074,-4.49681,4264.162333,0.94759163
190,22670,3.67702,-4.49668,4251.671556,0.944815901
200,22680,3.67351,-4.49687,4239.18025,0.942040056
210,22690,3.67001,-4.49694,4226.68875,0.939264167
220,22700,3.66659,-4.49673,4214.197833,0.936488407
230,22710,3.66301,-4.49666,4201.707111,0.933712691
240,22720,3.65982,-4.49677,4189.216083,0.930936907
250,22730,3.65654,-4.49668,4176.725306,0.928161179
260,22740,3.65325,-4.49675,4164.234333,0.925385407
270,22750,3.6499,-4.4969,4151.742944,0.922609543
280,22760,3.64655,-4.49696,4139.251389,0.919833642
290,22770,3.64327,-4.4966,4126.760833,0.917057963
300,22780,3.63994,-4.49669,4114.270028,0.914282228
310,22790,3.63678,-4.49677,4101.779,0.911506444
320,22800,3.63347,-4.49679,4089.287917,0.908730648
330,22810,3.63025,-4.49679,4076.796833,0.905954852
340,22820,3.62724,-4.49657,4064.306361,0.903179191
350,22830,3.62394,-4.49688,4051.815028,0.90040334
360,22840,3.62089,-4.49673,4039.324111,0.89762758
370,22850,3.61794,-4.49667,4026.833361,0.894851858
380,22860,3.61495,-4.49681,4014.342222,0.892076049
390,22870,3.61182,-4.49675,4001.85125,0.889300278
400,22880,3.60894,-4.49681,3989.360111,0.886524469
410,22890,3.60578,-4.49678,3976.869056,0.883748679
420,22900,3.60288,-4.49682,3964.377889,0.880972864
430,22910,3.59977,-4.49676,3951.886889,0.878197086
440,22920,3.59673,-4.49659,3939.396361,0.875421414
450,22930,3.59379,-4.49678,3926.905306,0.872645623
460,22940,3.59073,-4.49671,3914.414444,0.869869877
470,22950,3.58797,-4.49673,3901.923528,0.867094117
480,22960,3.58505,-4.49663,3889.432889,0.86431842
490,22970,3.58213,-4.4968,3876.941778,0.861542617
500,22980,3.5793,-4.49709,3864.449861,0.858766636
510,22990,3.57638,-4.497,3851.958194,0.85599071
520,23000,3.5735,-4.49675,3839.467222,0.853214938
530,23010,3.57048,-4.49656,3826.976778,0.850439284
540,23020,3.56751,-4.49664,3814.486111,0.84766358
550,23030,3.56475,-4.4967,3801.995278,0.84488784
560,23040,3.56178,-4.49667,3789.504528,0.842112117
570,23050,3.55897,-4.49689,3777.013167,0.839336259
580,23060,3.55619,-4.49675,3764.522194,0.836560488
590,23070,3.5535,-4.49663,3752.031556,0.83378479
600,23080,3.55069,-4.49653,3739.541194,0.831009154
610,23090,3.54787,-4.4967,3727.050361,0.828233414
620,23100,3.54509,-4.49684,3714.559139,0.825457586
630,23110,3.5421,-4.49674,3702.068194,0.822681821
640,23120,3.53935,-4.49669,3689.577389,0.819906086
650,23130,3.53661,-4.49673,3677.086472,0.817130327
660,23140,3.53369,-4.49675,3664.5955,0.814354556
670,23150,3.53088,-4.49674,3652.104556,0.81157879
680,23161,3.5281,-4.4967,3639.613722,0.808803049
690,23171,3.52568,-4.49667,3627.122972,0.806027327
700,23181,3.52283,-4.49679,3614.631889,0.803251531
