time,actual time,voltage,current,capacity,SoC,dQ,dv,ICA
0,13490,4.10786,-0.00107115,3664,0.814222222,,,
10,13500,3.58855,-4.49704,3664,0.814222222,,,
20,13510,3.56948,-4.49699,3651.508361,0.811446302,-12.491639,-0.01907,0.655041374
30,13520,3.55737,-4.49682,3639.017194,0.808670488,-12.491167,-0.01211,1.031475392
40,13530,3.54791,-4.4967,3626.526361,0.805894747,-12.490833,-0.00946,1.320384038
50,13540,3.54006,-4.49679,3614.035278,0.803118951,-12.491083,-0.00785,1.591220764
60,13550,3.53304,-4.49683,3601.544083,0.80034313,-12.491195,-0.00702,1.779372507
70,13560,3.52669,-4.49681,3589.052944,0.797567321,-12.491139,-0.00635,1.967108504
80,13570,3.52077,-4.49645,3576.562806,0.794791735,-12.490138,-0.00592,2.109820608
90,13580,3.51451,-4.49678,3564.07175,0.792015944,-12.491056,-0.00626,1.995376358
100,13590,3.50951,-4.49676,3551.58075,0.789240167,-12.491,-0.005,2.4982
110,13600,3.50419,-4.49678,3539.089694,0.786464377,-12.491056,-0.00532,2.347942857
120,13610,3.49873,-4.49654,3526.599306,0.783688735,-12.490388,-0.00546,2.28761685
130,13620,3.49313,-4.49664,3514.108639,0.780913031,-12.490667,-0.0056,2.23047625
140,13630,3.48738,-4.49654,3501.61825,0.778137389,-12.490389,-0.00575,2.172241565
150,13640,3.48168,-4.49657,3489.127778,0.775361728,-12.490472,-0.0057,2.191310877
160,13650,3.47607,-4.49658,3476.637278,0.772586062,-12.4905,-0.00561,2.226470588
170,13660,3.47017,-4.49653,3464.146917,0.769810426,-12.490361,-0.0059,2.117010339
180,13670,3.46421,-4.4966,3451.656361,0.767034747,-12.490556,-0.00596,2.095730872
190,13680,3.4583,-4.4966,3439.165806,0.764259068,-12.490555,-0.00591,2.113461083
200,13690,3.45256,-4.49667,3426.675056,0.761483346,-12.49075,-0.00574,2.17608885
210,13700,3.44694,-4.49652,3414.184722,0.758707716,-12.490334,-0.00562,2.222479359
220,13710,3.44154,-4.49675,3401.69375,0.755931944,-12.490972,-0.0054,2.313142963
230,13720,3.43566,-4.49657,3389.203278,0.753156284,-12.490472,-0.00588,2.124229932
240,13730,3.4301,-4.49663,3376.712639,0.750380586,-12.490639,-0.00556,2.246517806
250,13740,3.42476,-4.4966,3364.222083,0.747604907,-12.490556,-0.00534,2.339055431
260,13750,3.41951,-4.49681,3351.730944,0.744829099,-12.491139,-0.00525,2.379264571
270,13760,3.41443,-4.4967,3339.240111,0.742053358,-12.490833,-0.00508,2.458825394
280,13770,3.40958,-4.49657,3326.749639,0.739277698,-12.490472,-0.00485,2.575355052
290,13780,3.4051,-4.49675,3314.258667,0.736501926,-12.490972,-0.00448,2.788163393
300,13790,3.40068,-4.49682,3301.7675,0.733726111,-12.491167,-0.00442,2.826055882
310,13800,3.3969,-4.49659,3289.276972,0.730950438,-12.490528,-0.00378,3.304372487
320,13810,3.39323,-4.4967,3276.786139,0.728174698,-12.490833,-0.00367,3.40349673
330,13820,3.38947,-4.49659,3264.295611,0.725399025,-12.490528,-0.00376,3.321948936
340,13830,3.38604,-4.49663,3251.804972,0.722623327,-12.490639,-0.00343,3.641585714
350,13840,3.38287,-4.49661,3239.314389,0.719847642,-12.490583,-0.00317,3.940247003
360,13850,3.37977,-4.49682,3226.823222,0.717071827,-12.491167,-0.0031,4.02940871
370,13860,3.37686,-4.49679,3214.332139,0.714296031,-12.491083,-0.00291,4.292468385
380,13870,3.3742,-4.4966,3201.841583,0.711520352,-12.490556,-0.00266,4.695697744
390,13880,3.37161,-4.49694,3189.350083,0.708744463,-12.4915,-0.00259,4.822972973
400,13890,3.36903,-4.4969,3176.858694,0.705968599,-12.491389,-0.00258,4.841623643
410,13900,3.36675,-4.49679,3164.367611,0.703192802,-12.491083,-0.00228,5.478545175
420,13910,3.36462,-4.49675,3151.876639,0.700417031,-12.490972,-0.00213,5.864306103
430,13920,3.36261,-4.49686,3139.385361,0.697641191,-12.491278,-0.00201,6.214566169
440,13930,3.36046,-4.4965,3126.895083,0.694865574,-12.490278,-0.00215,5.809431628
450,13940,3.35827,-4.49652,3114.40475,0.692089944,-12.490333,-0.00219,5.703348402
460,13950,3.35629,-4.4967,3101.913917,0.689314204,-12.490833,-0.00198,6.308501515
470,13960,3.3544,-4.49665,3089.423222,0.686538494,-12.490695,-0.00189,6.608833333
480,13970,3.3525,-4.4965,3076.932944,0.683762877,-12.490278,-0.0019,6.573830526
490,13980,3.35061,-4.49668,3064.442167,0.680987148,-12.490777,-0.00189,6.60887672
500,13990,3.34841,-4.49679,3051.951083,0.678211352,-12.491084,-0.0022,5.677765455
510,14000,3.3469,-4.49678,3039.460028,0.675435562,-12.491055,-0.00151,8.272221854
520,14010,3.34514,-4.49675,3026.969056,0.67265979,-12.490972,-0.00176,7.097143182
530,14020,3.34347,-4.49669,3014.47825,0.669884056,-12.490806,-0.00167,7.479524551
540,14030,3.34175,-4.49658,3001.98775,0.667108389,-12.4905,-0.00172,7.261918605
550,14040,3.33992,-4.49659,2989.497222,0.664332716,-12.490528,-0.00183,6.825425137
560,14050,3.33825,-4.49659,2977.006694,0.661557043,-12.490528,-0.00167,7.479358084
570,14060,3.33658,-4.49662,2964.516083,0.658781352,-12.490611,-0.00167,7.479407784
