time,actual time,voltage,current,capacity,SoC
0,7643,4.03175,-0.0010513,2727,0.606
10,7653,3.28765,-4.49674,2727,0.606
20,7663,3.25531,-4.49667,2714.50925,0.603224278
30,7673,3.23985,-4.49661,2702.018667,0.600448593
40,7683,3.23027,-4.49658,2689.528167,0.597672926
50,7693,3.22463,-4.49645,2677.038028,0.59489734
60,7703,3.22014,-4.49664,2664.547361,0.592121636
70,7713,3.21782,-4.4967,2652.056528,0.589345895
80,7723,3.21699,-4.49675,2639.565556,0.586570123
90,7733,3.21697,-4.49677,2627.074528,0.58379434
100,7743,3.21754,-4.49675,2614.583556,0.581018568
110,7753,3.21876,-4.49668,2602.092778,0.57824284
120,7763,3.22024,-4.49662,2589.602167,0.575467148
130,7773,3.22189,-4.4967,2577.111333,0.572691407
140,7783,3.22376,-4.49666,2564.620611,0.569915691
150,7793,3.22562,-4.49643,2552.130528,0.567140117
160,7803,3.22743,-4.4966,2539.639972,0.564364438
170,7813,3.22932,-4.49666,2527.14925,0.561588722
180,7823,3.23088,-4.49659,2514.658722,0.558813049
190,7833,3.23266,-4.4967,2502.167889,0.556037309
200,7843,3.2343,-4.49664,2489.677222,0.553261605
210,7853,3.23583,-4.49663,2477.186583,0.550485907
220,7863,3.23729,-4.49666,2464.695861,0.547710191
230,7873,3.2387,-4.49659,2452.205333,0.544934519
240,7883,3.23999,-4.49657,2439.714861,0.542158858
250,7893,3.24108,-4.49659,2427.224333,0.539383185
260,7903,3.24212,-4.49678,2414.733278,0.536607395
270,7913,3.24304,-4.49661,2402.242694,0.53383171
280,7923,3.24394,-4.49684,2389.751472,0.531055883
290,7933,3.24452,-4.49672,2377.260583,0.52828013
300,7943,3.245,-4.49657,2364.770111,0.525504469
310,7953,3.24539,-4.49669,2352.279306,0.522728735
320,7963,3.24548,-4.49674,2339.788361,0.519952969
330,7973,3.24563,-4.49651,2327.298056,0.517177346
340,7983,3.2455,-4.4968,2314.806944,0.514401543
350,7993,3.24514,-4.49668,2302.316167,0.511625815
360,8003,3.24458,-4.49661,2289.825583,0.50885013
370,8013,3.24384,-4.49682,2277.334417,0.506074315
380,8023,3.24284,-4.4964,2264.844417,0.503298759
390,8033,3.24159,-4.49668,2252.353639,0.500523031
400,8043,3.24018,-4.49672,2239.86275,0.497747278
