time,actual time,voltage,current,capacity,SoC,dQ,dv,ICA,
0,8369,3.98548,-0.00103924,2075,0.461111111,,,,
10,8379,3.13432,-4.49667,2075,0.461111111,,,,
20,8389,3.07712,-4.49676,2062.509,0.458335333,-12.491,-0.0572,,0.218374126
30,8399,3.05045,-4.49667,2050.01825,0.455559611,-12.49075,-0.02667,,0.468344582
40,8409,3.03389,-4.49647,2037.528056,0.452784012,-12.490194,-0.01656,,0.754238768
50,8419,3.02312,-4.49675,2025.037083,0.450008241,-12.490973,-0.01077,,1.159793222
60,8429,3.01672,-4.49678,2012.546028,0.447232451,-12.491055,-0.0064,,1.951727344
70,8439,3.01397,-4.49656,2000.055583,0.444456796,-12.490445,-0.00275,,4.54198
80,8449,3.01372,-4.49665,1987.564889,0.441681086,-12.490694,-0.00025,,49.962776
90,8459,3.01598,-4.49655,1975.074472,0.438905438,-12.490417,0.00226,,5.526733186
100,8469,3.01963,-4.49656,1962.584028,0.436129784,-12.490444,0.00365,,3.422039452
110,8479,3.02432,-4.4967,1950.093194,0.433354043,-12.490834,0.00469,,2.663290832
120,8489,3.02998,-4.49671,1937.602333,0.430578296,-12.490861,0.00566,,2.206865901
130,8499,3.03623,-4.4964,1925.112333,0.427802741,-12.49,0.00625,,1.9984
140,8509,3.04276,-4.49647,1912.622139,0.425027142,-12.490194,0.00653,,1.912740276
150,8519,3.04917,-4.49668,1900.131361,0.422251414,-12.490778,0.00641,,1.948639314
160,8529,3.05552,-4.49675,1887.640389,0.419475642,-12.490972,0.00635,,1.967082205
170,8539,3.06174,-4.49667,1875.149639,0.41669992,-12.49075,0.00622,,2.008159164
180,8549,3.06759,-4.49661,1862.659056,0.413924235,-12.490583,0.00585,,2.135142393
190,8559,3.07289,-4.49673,1850.168139,0.411148475,-12.490917,0.0053,,2.356776792
200,8569,3.07792,-4.49662,1837.677528,0.408372784,-12.490611,0.00503,,2.483222863
210,8579,3.08256,-4.49666,1825.186806,0.405597068,-12.490722,0.00464,,2.691965948
220,8589,3.08642,-4.49652,1812.696472,0.402821438,-12.490334,0.00386,,3.235837824
230,8599,3.09023,-4.49677,1800.205444,0.400045654,-12.491028,0.00381,,3.278485039
240,8609,3.09373,-4.49667,1787.714694,0.397269932,-12.49075,0.0035,,3.568785714
250,8619,3.09685,-4.49661,1775.224111,0.394494247,-12.490583,0.00312,,4.003391987
260,8629,3.09968,-4.49658,1762.733611,0.39171858,-12.4905,0.00283,,4.41360424
270,8639,3.10197,-4.49652,1750.243278,0.388942951,-12.490333,0.00229,,5.454293886
280,8649,3.10391,-4.49644,1737.753167,0.38616737,-12.490111,0.00194,,6.438201546
290,8659,3.10568,-4.49653,1725.262806,0.383391735,-12.490361,0.00177,,7.05670113
300,8669,3.10705,-4.49652,1712.772472,0.380616105,-12.490334,0.00137,,9.117032117
310,8679,3.10808,-4.49661,1700.281889,0.37784042,-12.490583,0.00103,,12.12677961
320,8689,3.10883,-4.49625,1687.792306,0.375064957,-12.489583,0.00075,,16.65277733
330,8699,3.10922,-4.4966,1675.30175,0.372289278,-12.490556,0.00039,,32.02706667
340,8709,3.10925,-4.49665,1662.811056,0.369513568,-12.490694,3E-05,,416.3564667
350,8719,3.10913,-4.49668,1650.320278,0.36673784,-12.490778,-0.00012,,104.0898167
360,8729,3.10867,-4.49653,1637.829917,0.363962204,-12.490361,-0.00046,27.1529587,
370,8739,3.10768,-4.49656,1625.339472,0.361186549,-12.490445,-0.00099,12.61661111,
380,8749,3.10638,-4.49658,1612.848972,0.358410883,-12.4905,-0.0013,9.608076923,
390,8759,3.10474,-4.4966,1600.358417,0.355635204,-12.490555,-0.00164,7.616192073,
400,8769,3.10286,-4.4967,1587.867583,0.352859463,-12.490834,-0.00188,6.644060638,
410,8779,3.10029,-4.49658,1575.377083,0.350083796,-12.4905,-0.00257,4.860116732,
420,8789,3.0976,-4.49635,1562.887222,0.347308272,-12.489861,-0.00269,4.643071004,
430,8799,3.09451,-4.49648,1550.397,0.344532667,-12.490222,-0.00309,4.042143042,
440,8809,3.09102,-4.49667,1537.90625,0.341756944,-12.49075,-0.00349,3.579011461,
450,8819,3.08754,-4.49675,1525.415278,0.338981173,-12.490972,-0.00348,3.58935977,
460,8829,3.08309,-4.49666,1512.924556,0.336205457,-12.490722,-0.00445,2.80690382,
470,8839,3.07824,-4.49643,1500.434472,0.333429883,-12.490084,-0.00485,2.575275052,
480,8849,3.07327,-4.49614,1487.945194,0.330654488,-12.489278,-0.00497,2.512933199,
490,8859,3.06781,-4.49625,1475.455611,0.327879025,-12.489583,-0.00546,2.287469414,
500,8869,3.06203,-4.49652,1462.965278,0.325103395,-12.490333,-0.00578,2.160957266,
510,8879,3.05586,-4.49668,1450.4745,0.322327667,-12.490778,-0.00617,2.024437277,
520,8889,3.04979,-4.49661,1437.983917,0.319551981,-12.490583,-0.00607,2.057756672,
530,8899,3.04332,-4.49661,1425.493333,0.316776296,-12.490584,-0.00647,1.930538485,
540,8909,3.03659,-4.49641,1413.003306,0.314000735,-12.490027,-0.00673,1.855873254,
550,8919,3.03018,-4.49655,1400.512889,0.311225086,-12.490417,-0.00641,1.948582995,
560,8929,3.02361,-4.4968,1388.021778,0.308449284,-12.491111,-0.00657,1.901234551,
570,8939,3.01673,-4.49656,1375.531333,0.30567363,-12.490445,-0.00688,1.815471657,
580,8949,3.0097,-4.49683,1363.040139,0.302897809,-12.491194,-0.00703,1.776841252,
590,8959,3.00273,-4.4966,1350.549583,0.30012213,-12.490556,-0.00697,1.792045337,
600,8969,2.99611,-4.49666,1338.058861,0.297346414,-12.490722,-0.00662,1.886816012,
610,8979,2.98917,-4.49673,1325.567944,0.294570654,-12.490917,-0.00694,1.799843948,
620,8989,2.98252,-4.49631,1313.078194,0.291795154,-12.48975,-0.00665,1.878157895,
630,8999,2.97621,-4.49666,1300.587472,0.289019438,-12.490722,-0.00631,1.979512203,
640,9009,2.96999,-4.49673,1288.096556,0.286243679,-12.490916,-0.00622,2.008185852,
650,9019,2.96425,-4.49654,1275.606167,0.283468037,-12.490389,-0.00574,2.176025958,
660,9029,2.9586,-4.49648,1263.115944,0.280692432,-12.490223,-0.00565,2.210658938,
670,9039,2.95294,-4.49646,1250.625778,0.27791684,-12.490166,-0.00566,2.20674311,
680,9049,2.94734,-4.49649,1238.135528,0.275141228,-12.49025,-0.0056,2.230401786,
690,9059,2.94188,-4.49666,1225.644806,0.272365512,-12.490722,-0.00546,2.287678022,
700,9069,2.93665,-4.49665,1213.154111,0.269589802,-12.490695,-0.00523,2.388278203,
710,9079,2.93167,-4.49644,1200.664,0.266814222,-12.490111,-0.00498,2.508054418,
720,9089,2.92686,-4.49663,1188.173361,0.264038525,-12.490639,-0.00481,2.596806445,
730,9099,2.92229,-4.49659,1175.682833,0.261262852,-12.490528,-0.00457,2.733157112,
740,9109,2.9177,-4.49668,1163.192056,0.258487123,-12.490777,-0.00459,2.721302179,
750,9119,2.91355,-4.49656,1150.701611,0.255711469,-12.490445,-0.00415,3.009745783,
760,9129,2.90949,-4.49647,1138.211417,0.25293587,-12.490194,-0.00406,3.076402463,
770,9139,2.9059,-4.49662,1125.720806,0.250160179,-12.490611,-0.00359,3.47927883,
780,9149,2.90237,-4.4966,1113.23025,0.2473845,-12.490556,-0.00353,3.538401133,
790,9159,2.89862,-4.49644,1100.740139,0.24460892,-12.490111,-0.00375,3.330696267,
800,9169,2.89523,-4.49657,1088.249667,0.241833259,-12.490472,-0.00339,3.684505015,
810,9179,2.89206,-4.49682,1075.7585,0.239057444,-12.491167,-0.00317,3.94043123,
820,9189,2.88902,-4.49662,1063.267889,0.236281753,-12.490611,-0.00304,4.108753618,
830,9199,2.88619,-4.49643,1050.777806,0.233506179,-12.490083,-0.00283,4.41345689,
840,9209,2.88337,-4.49638,1038.287861,0.230730636,-12.489945,-0.00282,4.429058511,
850,9219,2.88084,-4.49642,1025.797806,0.227955068,-12.490055,-0.00253,4.936780632,
860,9229,2.8783,-4.49662,1013.307194,0.225179377,-12.490612,-0.00254,4.91756378,
870,9239,2.87612,-4.49653,1000.816833,0.222403741,-12.490361,-0.00218,5.729523394,
880,9249,2.87416,-4.49649,988.3265833,0.21962813,-12.4902497,-0.00196,6.372576378,
890,9259,2.87207,-4.49652,975.83625,0.2168525,-12.4903333,-0.00209,5.976236029,
