time,actual time,voltage,current,capacity,SoC,dQ,dv,ICA
0,22470,4.11555,-0.00107316,4489,0.997555556,,,
10,22480,3.77901,-4.49679,4489,0.997555556,,,
20,22490,3.76637,-4.49685,4476.50875,0.994779722,-12.49125,-0.01264,0.988231804
30,22500,3.75713,-4.4969,4464.017361,0.992003858,-12.491389,-0.00924,1.351881926
40,22510,3.74951,-4.49686,4451.526083,0.989228019,-12.491278,-0.00762,1.639275328
50,22520,3.74292,-4.4967,4439.03525,0.986452278,-12.490833,-0.00659,1.895422307
60,22530,3.73638,-4.49662,4426.544639,0.983676586,-12.490611,-0.00654,1.909879358
70,22540,3.7307,-4.49674,4414.053694,0.980900821,-12.490945,-0.00568,2.199110035
80,22550,3.72565,-4.49679,4401.562611,0.978125025,-12.491083,-0.00505,2.473481782
90,22560,3.72069,-4.49693,4389.071139,0.975349142,-12.491472,-0.00496,2.518441935
100,22570,3.71614,-4.49677,4376.580111,0.972573358,-12.491028,-0.00455,2.745280879
110,22580,3.71161,-4.49679,4364.089028,0.969797562,-12.491083,-0.00453,2.757413466
120,22590,3.70715,-4.49672,4351.598139,0.967021809,-12.490889,-0.00446,2.800647758
130,22600,3.70319,-4.4968,4339.107028,0.964246006,-12.491111,-0.00396,3.15432096
140,22610,3.69939,-4.49659,4326.6165,0.961470333,-12.490528,-0.0038,3.286981053
150,22620,3.69569,-4.4967,4314.125667,0.958694593,-12.490833,-0.0037,3.375900811
160,22630,3.69183,-4.49671,4301.634806,0.955918846,-12.490861,-0.00386,3.235974352
170,22640,3.68804,-4.49654,4289.144417,0.953143204,-12.490389,-0.00379,3.29561715
180,22650,3.68445,-4.49674,4276.653472,0.950367438,-12.490945,-0.00359,3.479371866
190,22660,3.68074,-4.49681,4264.162333,0.94759163,-12.491139,-0.00371,3.366883827
200,22670,3.67702,-4.49668,4251.671556,0.944815901,-12.490777,-0.00372,3.357735753
210,22680,3.67351,-4.49687,4239.18025,0.942040056,-12.491306,-0.00351,3.558776638
220,22690,3.67001,-4.49694,4226.68875,0.939264167,-12.4915,-0.0035,3.569
230,22700,3.66659,-4.49673,4214.197833,0.936488407,-12.490917,-0.00342,3.652314912
240,22710,3.66301,-4.49666,4201.707111,0.933712691,-12.490722,-0.00358,3.489028492
250,22720,3.65982,-4.49677,4189.216083,0.930936907,-12.491028,-0.00319,3.915682759
260,22730,3.65654,-4.49668,4176.725306,0.928161179,-12.490777,-0.00328,3.80816372
270,22740,3.65325,-4.49675,4164.234333,0.925385407,-12.490973,-0.00329,3.796648328
280,22750,3.6499,-4.4969,4151.742944,0.922609543,-12.491389,-0.00335,3.728772836
290,22760,3.64655,-4.49696,4139.251389,0.919833642,-12.491555,-0.00335,3.728822388
300,22770,3.64327,-4.4966,4126.760833,0.917057963,-12.490556,-0.00328,3.808096341
310,22780,3.63994,-4.49669,4114.270028,0.914282228,-12.490805,-0.00333,3.750992492
320,22790,3.63678,-4.49677,4101.779,0.911506444,-12.491028,-0.00316,3.952856962
330,22800,3.63347,-4.49679,4089.287917,0.908730648,-12.491083,-0.00331,3.773741088
340,22810,3.63025,-4.49679,4076.796833,0.905954852,-12.491084,-0.00322,3.879218634
350,22820,3.62724,-4.49657,4064.306361,0.903179191,-12.490472,-0.00301,4.149658472
360,22830,3.62394,-4.49688,4051.815028,0.90040334,-12.491333,-0.0033,3.785252424
370,22840,3.62089,-4.49673,4039.324111,0.89762758,-12.490917,-0.00305,4.095382623
380,22850,3.61794,-4.49667,4026.833361,0.894851858,-12.49075,-0.00295,4.234152542
390,22860,3.61495,-4.49681,4014.342222,0.892076049,-12.491139,-0.00299,4.177638462
400,22870,3.61182,-4.49675,4001.85125,0.889300278,-12.490972,-0.00313,3.990725879
410,22880,3.60894,-4.49681,3989.360111,0.886524469,-12.491139,-0.00288,4.337201042
420,22890,3.60578,-4.49678,3976.869056,0.883748679,-12.491055,-0.00316,3.952865506
430,22900,3.60288,-4.49682,3964.377889,0.880972864,-12.491167,-0.0029,4.307298966
440,22910,3.59977,-4.49676,3951.886889,0.878197086,-12.491,-0.00311,4.016398714
450,22920,3.59673,-4.49659,3939.396361,0.875421414,-12.490528,-0.00304,4.108726316
460,22930,3.59379,-4.49678,3926.905306,0.872645623,-12.491055,-0.00294,4.248658163
470,22940,3.59073,-4.49671,3914.414444,0.869869877,-12.490862,-0.00306,4.081981046
480,22950,3.58797,-4.49673,3901.923528,0.867094117,-12.490916,-0.00276,4.525694203
490,22960,3.58505,-4.49663,3889.432889,0.86431842,-12.490639,-0.00292,4.277616096
500,22970,3.58213,-4.4968,3876.941778,0.861542617,-12.491111,-0.00292,4.27777774
510,22980,3.5793,-4.49709,3864.449861,0.858766636,-12.491917,-0.00283,4.414104947
520,22990,3.57638,-4.497,3851.958194,0.85599071,-12.491667,-0.00292,4.277968151
530,23000,3.5735,-4.49675,3839.467222,0.853214938,-12.490972,-0.00288,4.337143056
540,23010,3.57048,-4.49656,3826.976778,0.850439284,-12.490444,-0.00302,4.135908609
550,23020,3.56751,-4.49664,3814.486111,0.84766358,-12.490667,-0.00297,4.205611785
560,23030,3.56475,-4.4967,3801.995278,0.84488784,-12.490833,-0.00276,4.52566413
570,23040,3.56178,-4.49667,3789.504528,0.842112117,-12.49075,-0.00297,4.205639731
580,23050,3.55897,-4.49689,3777.013167,0.839336259,-12.491361,-0.00281,4.445324199
590,23060,3.55619,-4.49675,3764.522194,0.836560488,-12.490973,-0.00278,4.493155755
600,23070,3.5535,-4.49663,3752.031556,0.83378479,-12.490638,-0.00269,4.643359851
610,23080,3.55069,-4.49653,3739.541194,0.831009154,-12.490362,-0.00281,4.444968683
620,23090,3.54787,-4.4967,3727.050361,0.828233414,-12.490833,-0.00282,4.429373404
630,23100,3.54509,-4.49684,3714.559139,0.825457586,-12.491222,-0.00278,4.493245324
640,23110,3.5421,-4.49674,3702.068194,0.822681821,-12.490945,-0.00299,4.177573579
650,23120,3.53935,-4.49669,3689.577389,0.819906086,-12.490805,-0.00275,4.542110909
660,23130,3.53661,-4.49673,3677.086472,0.817130327,-12.490917,-0.00274,4.558728832
670,23140,3.53369,-4.49675,3664.5955,0.814354556,-12.490972,-0.00292,4.277730137
680,23150,3.53088,-4.49674,3652.104556,0.81157879,-12.490944,-0.00281,4.445175801
690,23161,3.5281,-4.4967,3639.613722,0.808803049,-12.490834,-0.00278,4.493105755
700,23171,3.52568,-4.49667,3627.122972,0.806027327,-12.49075,-0.00242,5.161466942
710,23181,3.52283,-4.49679,3614.631889,0.803251531,-12.491083,-0.00285,4.38283614
720,23191,3.52004,-4.49658,3602.141389,0.800475864,-12.4905,-0.00279,4.47688172
730,23201,3.51719,-4.49687,3589.650083,0.797700019,-12.491306,-0.00285,4.382914386
740,23211,3.51443,-4.49659,3577.159556,0.794924346,-12.490527,-0.00276,4.525553261
750,23221,3.51174,-4.49669,3564.66875,0.792148611,-12.490806,-0.00269,4.643422305
760,23231,3.50891,-4.49669,3552.177944,0.789372877,-12.490806,-0.00283,4.413712367
770,23241,3.50611,-4.49673,3539.687028,0.786597117,-12.490916,-0.0028,4.461041429
780,23251,3.50343,-4.49658,3527.196528,0.783821451,-12.4905,-0.00268,4.660634328
790,23261,3.50047,-4.49661,3514.705944,0.781045765,-12.490584,-0.00296,4.219791892
800,23271,3.49801,-4.49692,3502.2145,0.778269889,-12.491444,-0.00246,5.077822764
810,23281,3.49539,-4.49689,3489.723139,0.775494031,-12.491361,-0.00262,4.767695038
820,23291,3.49259,-4.49655,3477.232722,0.772718383,-12.490417,-0.0028,4.460863214
830,23301,3.48982,-4.49668,3464.741944,0.769942654,-12.490778,-0.00277,4.509306137
840,23311,3.4871,-4.49687,3452.250639,0.767166809,-12.491305,-0.00272,4.592391544
850,23321,3.48442,-4.49684,3439.759417,0.764390981,-12.491222,-0.00268,4.660903731
860,23331,3.48175,-4.49692,3427.267972,0.761615105,-12.491445,-0.00267,4.67844382
870,23341,3.47882,-4.49677,3414.776944,0.758839321,-12.491028,-0.00293,4.263149488
880,23351,3.47612,-4.4966,3402.286389,0.756063642,-12.490555,-0.0027,4.626131481
890,23361,3.47343,-4.49687,3389.795083,0.753287796,-12.491306,-0.00269,4.643608178
900,23371,3.47071,-4.49682,3377.303917,0.750511981,-12.491166,-0.00272,4.592340441
910,23381,3.46795,-4.4967,3364.813083,0.747736241,-12.490834,-0.00276,4.525664493
920,23391,3.4654,-4.49682,3352.321917,0.744960426,-12.491166,-0.00255,4.898496471
930,23401,3.46285,-4.49686,3339.830639,0.742184586,-12.491278,-0.00255,4.898540392
940,23411,3.4601,-4.49682,3327.339472,0.739408772,-12.491167,-0.00275,4.542242545
950,23421,3.45742,-4.49658,3314.848972,0.736633105,-12.4905,-0.00268,4.660634328
960,23431,3.45468,-4.49674,3302.358028,0.73385734,-12.490944,-0.00274,4.558738686
970,23441,3.45195,-4.49669,3289.867222,0.731081605,-12.490806,-0.00273,4.575386813
980,23451,3.44929,-4.49691,3277.375806,0.728305735,-12.491416,-0.00266,4.696021053
990,23461,3.44661,-4.49673,3264.884889,0.725529975,-12.490917,-0.00268,4.660789925
1000,23471,3.44391,-4.4966,3252.394333,0.722754296,-12.490556,-0.0027,4.626131852
1010,23481,3.44128,-4.49662,3239.903722,0.719978605,-12.490611,-0.00263,4.749281749
1020,23491,3.43878,-4.49678,3227.412667,0.717202815,-12.491055,-0.0025,4.996422
1030,23501,3.43602,-4.49684,3214.921444,0.714426988,-12.491223,-0.00276,4.525805435
1040,23511,3.43344,-4.49676,3202.430444,0.71165121,-12.491,-0.00258,4.841472868
1050,23521,3.43086,-4.49666,3189.939722,0.708875494,-12.490722,-0.00258,4.841365116
1060,23531,3.42834,-4.49671,3177.448861,0.706099747,-12.490861,-0.00252,4.956690873
1070,23541,3.42575,-4.49657,3164.958389,0.703324086,-12.490472,-0.00259,4.822576062
1080,23551,3.42308,-4.49671,3152.467528,0.70054834,-12.490861,-0.00267,4.678225094
1090,23561,3.42048,-4.4965,3139.97725,0.697772722,-12.490278,-0.0026,4.803953077
1100,23571,3.41797,-4.49661,3127.486667,0.694997037,-12.490583,-0.00251,4.976327888
1110,23581,3.41537,-4.49659,3114.996139,0.692221364,-12.490528,-0.0026,4.804049231
1120,23591,3.41266,-4.49681,3102.505,0.689445556,-12.491139,-0.00271,4.609276384
1130,23601,3.41014,-4.49666,3090.014278,0.68666984,-12.490722,-0.00252,4.956635714
1140,23611,3.40789,-4.49655,3077.523861,0.683894191,-12.490417,-0.00225,5.551296444
1150,23621,3.40562,-4.49654,3065.033472,0.681118549,-12.490389,-0.00227,5.502374009
1160,23631,3.40312,-4.49647,3052.543278,0.678342951,-12.490194,-0.0025,4.9960776
1170,23641,3.40047,-4.49677,3040.05225,0.675567167,-12.491028,-0.00265,4.713595472
1180,23651,3.39793,-4.49676,3027.56125,0.672791389,-12.491,-0.00254,4.917716535
1190,23661,3.39541,-4.49661,3015.070667,0.670015704,-12.490583,-0.00252,4.956580556
1200,23671,3.39303,-4.49674,3002.579722,0.667239938,-12.490945,-0.00238,5.248296218
1210,23681,3.39069,-4.49668,2990.088944,0.66446421,-12.490778,-0.00234,5.337939316
1220,23691,3.38803,-4.49675,2977.597972,0.661688438,-12.490972,-0.00266,4.695854135
1230,23701,3.38587,-4.49665,2965.107278,0.658912728,-12.490694,-0.00216,5.782728704
1240,23711,3.38357,-4.49667,2952.616528,0.656137006,-12.49075,-0.0023,5.43076087
1250,23721,3.38121,-4.49661,2940.125944,0.653361321,-12.490584,-0.00236,5.292620339
1260,23731,3.37906,-4.49683,2927.63475,0.6505855,-12.491194,-0.00215,5.809857674
