time,actual time,voltage,current,chargeq,dischargeq,CE
0,9752,3.07909,0.683325,3238,3250,100.37
10,9762,3.18545,1.35815,,,
20,9772,3.28898,1.87533,,,
30,9782,3.38194,2.38524,,,
40,9792,3.49697,3.06671,,,
50,9802,3.60619,3.2667,,,
60,9812,3.66471,3.445,,,
70,9822,3.69277,3.48331,,,
80,9832,3.71551,3.50732,,,
90,9842,3.73587,3.5205,,,
100,9852,3.75439,3.55555,,,
110,9862,3.77117,3.57052,,,
120,9872,3.78626,3.5864,,,
130,9882,3.79958,3.59271,,,
140,9892,3.81158,3.59213,,,
150,9902,3.82258,3.59584,,,
160,9912,3.8309,3.59,,,
170,9922,3.81744,3.45,,,
180,9932,3.82268,3.43986,,,
190,9942,3.8286,3.42452,,,
200,9952,3.83428,3.42434,,,
210,9962,3.83983,3.42605,,,
220,9972,3.845,3.41768,,,
230,9982,3.85058,3.41856,,,
240,9992,3.85455,3.40744,,,
250,10002,3.85876,3.4189,,,
260,10012,3.86274,3.4233,,,
270,10022,3.8648,3.42,,,
280,10032,3.86797,3.43,,,
290,10042,3.87123,3.4319,,,
300,10052,3.87526,3.41211,,,
310,10062,3.87763,3.43646,,,
320,10072,3.88124,3.4332,,,
330,10082,3.88372,3.41618,,,
340,10092,3.88667,3.43189,,,
350,10102,3.88955,3.43927,,,
360,10112,3.8927,3.44355,,,
370,10122,3.89548,3.43951,,,
380,10132,3.89641,3.44,,,
390,10142,3.8976,3.45,,,
400,10152,3.90002,3.46223,,,
410,10162,3.90251,3.46032,,,
420,10172,3.90504,3.45479,,,
430,10182,3.90824,3.45238,,,
440,10192,3.9107,3.45196,,,
450,10202,3.91353,3.44803,,,
460,10212,3.91597,3.44481,,,
470,10222,3.91851,3.4418,,,
480,10232,3.9217,3.43436,,,
490,10242,3.92414,3.43049,,,
500,10252,3.92675,3.42504,,,
510,10262,3.9293,3.42856,,,
520,10272,3.93213,3.41812,,,
530,10282,3.93481,3.41505,,,
540,10292,3.93715,3.40715,,,
550,10302,3.94017,3.4089,,,
560,10312,3.94262,3.40919,,,
570,10322,3.94532,3.4074,,,
580,10332,3.94832,3.41118,,,
590,10342,3.95032,,,,
600,10352,3.9554,,,,
610,10362,3.95716,3.39743,,,
620,10372,3.96034,3.41036,,,
630,10382,3.96273,3.41859,,,
640,10392,3.96526,3.42941,,,
650,10402,3.96834,3.43326,,,
660,10412,3.97093,3.44184,,,
670,10422,3.97404,3.43467,,,
680,10432,3.97685,3.43089,,,
690,10442,3.97941,3.42653,,,
700,10452,3.98175,3.42667,,,
710,10462,3.9848,3.43022,,,
720,10472,3.98736,3.43373,,,
730,10482,3.99012,3.43865,,,
740,10492,3.99342,3.44666,,,
750,10502,3.99579,3.44764,,,
760,10512,3.99828,3.44353,,,
770,10522,4.00099,3.443,,,
780,10532,4.00399,3.44239,,,
790,10542,4.00745,,,,
800,10552,4.0079,,,,
810,10562,4.01047,3.37688,,,
820,10572,4.01373,3.38528,,,
830,10582,4.01568,3.39247,,,
840,10592,4.01811,3.3953,,,
850,10602,4.02085,3.406,,,
860,10612,4.02355,3.41058,,,
870,10622,4.02639,3.4091,,,
880,10632,4.02877,3.4083,,,
890,10642,4.0313,3.40966,,,
900,10652,4.03334,3.41224,,,
910,10662,4.03612,3.41998,,,
920,10672,4.03864,3.432,,,
930,10682,4.04136,3.43453,,,
940,10692,4.04328,3.43353,,,
950,10702,4.04568,3.43154,,,
960,10712,4.04772,3.43207,,,
970,10722,4.05089,3.42772,,,
980,10732,4.05468,,,,
990,10742,4.05684,,,,
1000,10752,4.05923,3.44115,,,
1010,10762,4.0611,3.44675,,,
1020,10772,4.06367,3.43843,,,
1030,10782,4.06587,3.43615,,,
1040,10792,4.06774,3.4272,,,
1050,10802,4.07025,3.42688,,,
1060,10812,4.07205,3.42579,,,
1070,10822,4.07427,3.42065,,,
1080,10832,4.07674,3.42039,,,
