time,voltage,time2
19293.37203,4.223512526,0.002031483
19293.68944,4.223351801,0.319442007
19294.00685,4.223198356,0.636852531
19294.64167,4.222917121,1.27167358
19295.91132,4.222408076,2.541315678
19298.4506,4.221588467,5.080599873
19303.52917,4.220452883,10.15916826
19310.95706,4.21941964,17.5870635
19321.02656,4.218482848,27.65656435
19335.11395,4.217484058,41.74395097
19355.41541,4.216366932,62.04540886
19380.24129,4.21534808,86.87128722
19405.06717,4.214575362,111.6971656
19435.08897,4.21382781,141.7189734
19475.06071,4.213025949,181.6907146
19532.33419,4.21212342,238.9641942
19619.21228,4.211107925,325.8422754
19760.99401,4.209999111,467.6240108
19893.37203,4.209238586,600.0020315
19893.37203,4.049212802,600.0020315
19894.04804,4.045415145,600.678043
19894.72405,4.041817744,601.3540545
19895.65932,4.037302493,602.2893165
19896.9307,4.031734188,603.5607001
19898.20208,4.026872207,604.8320838
19900.28324,4.020242662,606.9132403
19903.54489,4.012209696,610.1748884
19907.65158,4.004653752,614.281585
19911.75828,3.99874097,618.3882816
19917.06024,3.992325984,623.6902433
19924.17362,3.985021518,630.8036177
19931.28699,3.978790136,637.9169921
19938.40037,3.973376548,645.0303665
19947.07695,3.967682935,653.7069548
19957.58015,3.96190639,664.2101454
19968.08334,3.957138484,674.7133361
19981.24167,3.952295006,687.8716744
19997.14553,3.947773098,703.7755268
20013.04938,3.944399656,719.6793791
20031.50564,3.941582907,738.1356435
20049.96191,3.939672492,756.5919078
20073.35173,3.938199579,779.9817265
20102.21249,3.937375106,808.84249
20136.89679,3.937199588,843.5267851
20179.01106,3.937361631,885.6410639
20232.55355,3.937101662,939.1835543
20305.55696,3.934577337,1012.186964
20414.41428,3.925149469,1121.044277
20572.31622,3.902351323,1278.946218
20730.21816,3.875318726,1436.848158
20888.1201,3.848834282,1594.750099
21100.08922,3.81699414,1806.71922
21368.1923,3.781957085,2074.822303
21636.29539,3.746350518,2342.925385
21811.85757,3.714085724,2518.487567
21987.41975,3.670183595,2694.049749
22078.77938,3.647961171,2785.409377
22170.13901,3.628228419,2876.769006
22370.4105,3.591323542,3077.040502
22526.70592,3.566947599,3233.335925
22683.00135,3.545877341,3389.631347
22956.94081,3.514335595,3663.570809
23408.75916,3.464873025,4115.389157
23617.46559,3.436735674,4324.095592
23826.17203,3.400643367,4532.802027
24034.87846,3.358043924,4741.508461
24178.12571,3.329428894,4884.75571
24321.37296,3.303747922,5028.002959
24505.9919,3.273012585,5212.621895
24630.99331,3.248244713,5337.623314
24720.6864,3.222854606,5427.316398
24810.37948,3.18534251,5517.009483
24900.07257,3.133442552,5606.702568
24973.70114,3.084296038,5680.331144
25047.32972,3.034910728,5753.95972
25120.9583,2.986021896,5827.588296
25193.81416,2.932871871,5900.444155
25245.9688,2.886768567,5952.598803
25298.12345,2.828824132,6004.75345
25350.2781,2.753137212,6056.908098
25390.11911,2.678624996,6096.749112
25429.96013,2.584764795,6136.590126
25459.17344,2.5,6165.803442
