time_o,voltage,time_1,time,
5333.802329,3.425121599,-2345.717336,0,4825.675399
5587.865794,3.379402856,-2091.653871,140,
5788.069683,3.339283269,-1891.449982,280,
5945.145226,3.310469002,-1734.37444,420,
6102.220768,3.284749585,-1577.298897,560,
6264.532044,3.25695176,-1414.987621,700,
6366.237971,3.233296522,-1313.281695,840,
6450.349307,3.204812898,-1229.170358,980,
6534.460643,3.16428036,-1145.059022,1120,
6618.57198,3.112570753,-1060.947685,1260,
6683.304002,3.069550629,-996.2156628,1400,
6748.036025,3.027048129,-931.4836404,1540,
6812.768047,2.984722039,-866.751618,1680,
6888.344171,2.930340333,-791.1754943,1820,
6941.060518,2.884186419,-738.4591467,1960,
6993.776866,2.826123722,-685.7427992,2100,
7046.493213,2.750267956,-633.0264516,2240,
7086.799626,2.675529739,-592.7200389,2380,
7127.106039,2.581402777,-552.4136261,2520,
7155.503655,2.5,-524.0160098,2660,
