time,actual time,voltage,current,capacity,SoC
0,17308,4.24011,-0.00110564,3238,0.952352941
10,17319,3.79309,-3.39482,3238,0.952352941
20,17329,3.76656,-3.395,3228.569444,0.949579248
30,17339,3.74809,-3.39502,3219.138833,0.946805539
40,17349,3.73264,-3.3949,3209.708556,0.944031928
50,17359,3.72051,-3.39475,3200.278694,0.94125844
60,17370,3.71051,-3.39495,3190.848278,0.938484788
70,17380,3.70184,-3.39481,3181.41825,0.93571125
80,17390,3.69454,-3.39484,3171.988139,0.932937688
90,17400,3.68864,-3.39508,3162.557361,0.93016393
100,17412,3.68355,-3.39491,3153.127056,0.92739031
110,17422,3.67836,-3.39522,3143.695889,0.924616438
120,17432,3.67394,-3.3949,3134.265611,0.921842827
130,17443,3.67031,-3.39492,3124.835278,0.919069199
140,17454,3.66642,-3.39498,3115.404778,0.916295523
150,17464,3.66306,-3.39481,3105.97475,0.913521985
160,17474,3.6602,-3.39479,3096.544778,0.910748464
170,17484,3.65782,-3.39488,3087.114556,0.907974869
180,17494,3.65548,-3.39517,3077.683528,0.905201038
190,17504,3.65323,-3.39481,3068.2535,0.9024275
200,17515,3.65167,-3.39483,3058.823417,0.899653946
210,17527,3.64944,-3.39482,3049.393361,0.8968804
220,17537,3.64717,-3.39466,3039.96375,0.894106985
230,17547,3.64523,-3.39493,3030.533389,0.89133335
240,17557,3.64337,-3.39479,3021.103417,0.888559828
250,17568,3.64159,-3.39497,3011.672944,0.88578616
260,17578,3.63985,-3.39497,3002.242472,0.883012492
270,17588,3.63802,-3.39483,2992.812389,0.880238938
280,17598,3.6358,-3.39493,2983.382028,0.877465302
290,17608,3.63462,-3.39492,2973.951694,0.874691675
300,17618,3.63295,-3.39497,2964.521222,0.871918007
310,17628,3.63137,-3.39442,2955.092278,0.869144788
320,17638,3.62959,-3.39478,2945.662333,0.866371275
330,17648,3.62794,-3.39473,2936.232528,0.863597802
340,17658,3.62632,-3.39497,2926.802056,0.860824134
350,17668,3.62465,-3.39487,2917.371861,0.858050547
360,17678,3.62304,-3.39501,2907.941278,0.855276846
370,17688,3.62134,-3.395,2898.510722,0.852503154
380,17698,3.6197,-3.39492,2889.080389,0.849729526
390,17709,3.61785,-3.39483,2879.650306,0.846955972
400,17719,3.61613,-3.39495,2870.219889,0.84418232
410,17729,3.61464,-3.39501,2860.789306,0.841408619
420,17740,3.61289,-3.39502,2851.358694,0.83863491
430,17750,3.61108,-3.39501,2841.928111,0.835861209
440,17760,3.60937,-3.39487,2832.497917,0.833087623
450,17770,3.60775,-3.39475,2823.068056,0.830314134
460,17780,3.60577,-3.39468,2813.638389,0.827540703
470,17790,3.604,-3.39482,2804.208333,0.824767157
480,17800,3.60253,-3.39502,2794.777722,0.821993448
490,17810,3.60085,-3.39496,2785.347278,0.819219788
500,17820,3.59902,-3.39491,2775.916972,0.816446168
510,17832,3.59713,-3.39489,2766.486722,0.813672565
520,17842,3.59491,-3.39495,2757.056306,0.810898913
530,17852,3.59319,-3.39491,2747.626,0.808125294
540,17862,3.59143,-3.39496,2738.195556,0.805351634
550,17872,3.58957,-3.39475,2728.765694,0.802578145
560,17882,3.58754,-3.39505,2719.335,0.799804412
570,17892,3.58534,-3.39504,2709.904333,0.797030686
580,17902,3.58323,-3.3951,2700.4735,0.794256912
590,17912,3.581,-3.39491,2691.043194,0.791483292
600,17923,3.57858,-3.39463,2681.613667,0.788709902
610,17933,3.57617,-3.39473,2672.183861,0.78593643
620,17944,3.5737,-3.39495,2662.753444,0.783162778
630,17954,3.57123,-3.39497,2653.322972,0.780389109
640,17964,3.56879,-3.39505,2643.892278,0.777615376
650,17974,3.5665,-3.39476,2634.462389,0.774841879
660,17985,3.56345,-3.39473,2625.032583,0.772068407
670,17995,3.56114,-3.39484,2615.602472,0.769294845
680,18005,3.55764,-3.3949,2606.172194,0.766521234
690,18016,3.55531,-3.395,2596.741639,0.763747541
700,18026,3.55242,-3.39487,2587.311444,0.760973954
710,18036,3.54955,-3.39495,2577.881028,0.758200302
720,18046,3.5469,-3.39485,2568.450889,0.755426732
730,18056,3.54423,-3.39508,2559.020111,0.752652974
740,18066,3.54103,-3.39485,2549.589972,0.749879404
750,18076,3.53796,-3.39491,2540.159667,0.747105784
760,18086,3.53497,-3.39496,2530.729222,0.744332124
770,18096,3.53201,-3.3948,2521.299222,0.741558595
780,18107,3.52888,-3.39489,2511.868972,0.738784992
790,18117,3.52583,-3.39453,2502.439722,0.736011683
800,18127,3.52276,-3.39475,2493.009861,0.733238194
810,18137,3.51958,-3.39483,2483.579778,0.730464641
820,18147,3.51636,-3.39484,2474.149667,0.727691078
830,18157,3.51344,-3.39499,2464.719139,0.724917394
840,18167,3.51042,-3.39484,2455.289028,0.722143832
850,18177,3.50759,-3.39502,2445.858417,0.719370123
860,18187,3.50459,-3.39494,2436.428028,0.716596479
870,18197,3.5016,-3.39491,2426.997722,0.713822859
880,18207,3.49856,-3.39488,2417.5675,0.711049265
890,18217,3.49555,-3.39469,2408.137806,0.708275825
900,18227,3.49269,-3.39497,2398.707333,0.705502157
910,18237,3.48966,-3.39498,2389.276833,0.70272848
920,18247,3.48683,-3.39484,2379.846722,0.699954918
930,18257,3.48379,-3.39489,2370.416472,0.697181315
940,18267,3.48093,-3.39485,2360.986333,0.694407745
950,18277,3.47805,-3.39512,2351.555444,0.691633954
960,18287,3.47547,-3.39501,2342.124861,0.688860253
970,18297,3.47288,-3.39487,2332.694667,0.686086667
980,18307,3.47009,-3.39498,2323.264167,0.68331299
990,18317,3.46731,-3.39474,2313.834333,0.68053951
1000,18327,3.4646,-3.39491,2304.404028,0.677765891
1010,18337,3.46202,-3.39502,2294.973417,0.674992181
1020,18347,3.4591,-3.39488,2285.543194,0.672218587
1030,18357,3.45653,-3.39489,2276.112944,0.669444984
1040,18367,3.4541,-3.39464,2266.683389,0.666671585
1050,18377,3.45168,-3.39479,2257.253417,0.663898064
1060,18387,3.44939,-3.3948,2247.823417,0.661124534
1070,18397,3.44649,-3.39492,2238.393083,0.658350907
1080,18407,3.44462,-3.39505,2228.962389,0.655577173
1090,18417,3.44216,-3.39485,2219.53225,0.652803603
1100,18427,3.43974,-3.39482,2210.102194,0.650030057
1110,18437,3.43724,-3.39482,2200.672139,0.647256511
1120,18447,3.43484,-3.39469,2191.242444,0.644483072
1130,18457,3.43251,-3.39473,2181.812639,0.6417096
1140,18467,3.42994,-3.39479,2172.382667,0.638936078
1150,18477,3.42771,-3.39493,2162.952306,0.636162443
1160,18487,3.42554,-3.39482,2153.52225,0.633388897
1170,18497,3.42349,-3.3948,2144.09225,0.630615368
1180,18507,3.42125,-3.39493,2134.661889,0.627841732
1190,18517,3.41907,-3.39487,2125.231694,0.625068145
1200,18527,3.41674,-3.39503,2115.801056,0.622294428
1210,18537,3.41444,-3.3949,2106.370778,0.619520817
1220,18547,3.41228,-3.39501,2096.940194,0.616747116
1230,18557,3.40969,-3.395,2087.509639,0.613973423
1240,18567,3.40737,-3.39479,2078.079667,0.611199902
1250,18577,3.40505,-3.39472,2068.649889,0.608426438
1260,18587,3.40283,-3.39468,2059.220222,0.605653007
1270,18597,3.40063,-3.39455,2049.790917,0.602879681
1280,18607,3.39839,-3.39505,2040.360222,0.600105948
1290,18617,3.39575,-3.39498,2030.929722,0.597332271
1300,18627,3.39355,-3.39473,2021.499917,0.594558799
1310,18637,3.39132,-3.39476,2012.070028,0.591785302
1320,18647,3.3888,-3.39494,2002.639639,0.589011658
1330,18657,3.38653,-3.39467,1993.21,0.586238235
1340,18667,3.38405,-3.39486,1983.779833,0.583464657
1350,18677,3.38174,-3.39476,1974.349944,0.58069116
1360,18687,3.37934,-3.39473,1964.920139,0.577917688
1370,18697,3.37685,-3.39486,1955.489972,0.575144109
1380,18707,3.37484,-3.39478,1946.060028,0.572370596
1390,18717,3.37229,-3.39467,1936.630389,0.569597173
1400,18727,3.36983,-3.39495,1927.199972,0.566823521
1410,18737,3.36726,-3.39511,1917.769111,0.564049739
1420,18747,3.36464,-3.39508,1908.338333,0.56127598
1430,18757,3.3621,-3.39499,1898.907806,0.558502296
1440,18767,3.35931,-3.39482,1889.47775,0.55572875
1450,18777,3.35704,-3.39458,1880.048361,0.5529554
1460,18787,3.3543,-3.3948,1870.618361,0.550181871
1470,18797,3.35178,-3.39488,1861.188139,0.547408276
1480,18807,3.3492,-3.3949,1851.757861,0.544634665
1490,18817,3.34682,-3.39494,1842.327472,0.541861021
1500,18827,3.34415,-3.39476,1832.897583,0.539087525
1510,18837,3.34145,-3.39493,1823.467222,0.536313889
1520,18847,3.33875,-3.39499,1814.036694,0.533540204
1530,18857,3.33587,-3.39496,1804.60625,0.530766544
1540,18867,3.33324,-3.39491,1795.175944,0.527992925
1550,18877,3.3304,-3.3947,1785.746222,0.525219477
1560,18887,3.32751,-3.39498,1776.315722,0.522445801
1570,18897,3.32477,-3.39478,1766.885778,0.519672288
1580,18907,3.32204,-3.39494,1757.455389,0.516898644
1590,18917,3.31928,-3.39489,1748.025139,0.514125041
1600,18927,3.31653,-3.39481,1738.595111,0.511351503
1610,18937,3.31383,-3.39484,1729.165,0.508577941
1620,18947,3.3108,-3.39469,1719.735306,0.505804502
1630,18957,3.30796,-3.39477,1710.305389,0.503030997
1640,18967,3.30511,-3.39498,1700.874889,0.50025732
1650,18977,3.30208,-3.39484,1691.444778,0.497483758
1660,18987,3.29916,-3.39487,1682.014583,0.494710172
1670,18997,3.29624,-3.39469,1672.584889,0.491936732
1680,19007,3.29338,-3.39471,1663.155139,0.489163276
1690,19017,3.29058,-3.39492,1653.724806,0.486389649
1700,19027,3.28806,-3.39483,1644.294722,0.483616095
1710,19037,3.2848,-3.39474,1634.864889,0.480842614
1720,19047,3.28179,-3.39473,1625.435083,0.478069142
1730,19057,3.2789,-3.39454,1616.005806,0.475295825
1740,19067,3.2758,-3.39484,1606.575694,0.472522263
1750,19077,3.27276,-3.39474,1597.145861,0.469748783
1760,19087,3.26981,-3.39459,1587.716444,0.466975425
1770,19097,3.2669,-3.39486,1578.286278,0.464201846
1780,19107,3.26379,-3.39481,1568.85625,0.461428309
1790,19117,3.26079,-3.39497,1559.425778,0.458654641
1800,19127,3.25788,-3.39476,1549.995889,0.455881144
1810,19137,3.25505,-3.39482,1540.565833,0.453107598
1820,19147,3.25206,-3.39497,1531.135361,0.45033393
1830,19157,3.24903,-3.39488,1521.705139,0.447560335
1840,19167,3.24608,-3.39488,1512.274917,0.44478674
1850,19177,3.24308,-3.39487,1502.844722,0.442013154
1860,19187,3.23992,-3.39471,1493.414972,0.439239698
1870,19197,3.23707,-3.39466,1483.985361,0.436466283
1880,19207,3.23402,-3.39472,1474.555583,0.433692819
1890,19217,3.23122,-3.3951,1465.12475,0.430919044
1900,19227,3.22836,-3.39484,1455.694639,0.428145482
1910,19237,3.22557,-3.39486,1446.264472,0.425371904
1920,19247,3.22265,-3.39488,1436.83425,0.422598309
1930,19257,3.21964,-3.39498,1427.40375,0.419824632
1940,19267,3.21675,-3.39462,1417.97425,0.41705125
1950,19277,3.21376,-3.39496,1408.543806,0.41427759
1960,19287,3.21098,-3.39464,1399.11425,0.411504191
1970,19297,3.20827,-3.3951,1389.683417,0.408730417
1980,19307,3.20528,-3.39475,1380.253556,0.405956928
1990,19317,3.20233,-3.39488,1370.823333,0.403183333
2000,19327,3.19967,-3.39486,1361.393167,0.400409755
2010,19337,3.19702,-3.39481,1351.963139,0.397636217
2020,19347,3.19408,-3.39499,1342.532611,0.394862533
2030,19357,3.1911,-3.395,1333.102056,0.39208884
2040,19367,3.18837,-3.39483,1323.671972,0.389315286
2050,19377,3.18551,-3.39471,1314.242222,0.38654183
2060,19387,3.18264,-3.39485,1304.812083,0.38376826
2070,19397,3.18009,-3.39488,1295.381861,0.380994665
2080,19407,3.17725,-3.39484,1285.95175,0.378221103
2090,19417,3.17461,-3.3949,1276.521472,0.375447492
2100,19427,3.1721,-3.39496,1267.091028,0.372673832
2110,19437,3.16946,-3.39484,1257.660917,0.36990027
2120,19447,3.16691,-3.3948,1248.230917,0.36712674
2130,19457,3.16437,-3.39502,1238.800306,0.364353031
2140,19467,3.16167,-3.39482,1229.37025,0.361579485
2150,19477,3.1591,-3.39465,1219.940667,0.358806078
2160,19487,3.15654,-3.39504,1210.51,0.356032353
2170,19497,3.1539,-3.39497,1201.079528,0.353258685
2180,19507,3.15138,-3.3947,1191.649806,0.350485237
2190,19517,3.14883,-3.39486,1182.219639,0.347711658
2200,19527,3.14628,-3.3947,1172.789917,0.344938211
2210,19537,3.14369,-3.39489,1163.359667,0.342164608
2220,19547,3.1414,-3.39508,1153.928889,0.33939085
2230,19557,3.13886,-3.39478,1144.498944,0.336617337
2240,19567,3.13624,-3.39479,1135.068972,0.333843815
2250,19578,3.13347,-3.39483,1125.638889,0.331070261
2260,19588,3.13095,-3.39472,1116.209111,0.328296797
2270,19598,3.12845,-3.39489,1106.778861,0.325523194
2280,19608,3.1259,-3.39467,1097.349222,0.322749771
2290,19618,3.12317,-3.39477,1087.919306,0.319976266
2300,19628,3.12053,-3.39469,1078.489611,0.317202827
2310,19638,3.11782,-3.39473,1069.059806,0.314429355
2320,19648,3.11515,-3.39446,1059.63075,0.311656103
2330,19658,3.11239,-3.39479,1050.200778,0.308882582
2340,19668,3.11008,-3.39485,1040.770639,0.306109011
2350,19678,3.10713,-3.39471,1031.340889,0.303335556
2360,19688,3.10445,-3.39478,1021.910944,0.300562042
2370,19698,3.10165,-3.39489,1012.480694,0.29778844
2380,19708,3.09887,-3.39479,1003.050722,0.295014918
2390,19718,3.09598,-3.39483,993.6206389,0.292241364
2400,19728,3.09311,-3.39484,984.1905278,0.289467802
2410,19738,3.09028,-3.39468,974.7608611,0.286694371
2420,19748,3.08751,-3.39468,965.3311944,0.28392094
2430,19758,3.0848,-3.3948,955.9011944,0.28114741
2440,19768,3.08193,-3.39504,946.4705278,0.278373685
2450,19778,3.07914,-3.39487,937.0403333,0.275600098
2460,19788,3.07618,-3.39482,927.6102778,0.272826552
2470,19798,3.07317,-3.39488,918.1800556,0.270052958
2480,19808,3.07032,-3.39482,908.75,0.267279412
2490,19818,3.06744,-3.39491,899.3196944,0.264505792
2500,19828,3.06446,-3.39452,889.8904722,0.261732492
2510,19838,3.06152,-3.39492,880.4601389,0.258958864
2520,19848,3.0585,-3.39471,871.0303889,0.256185408
2530,19858,3.05524,-3.39457,861.6010278,0.253412067
2540,19868,3.0522,-3.39448,852.1719167,0.250638799
2550,19878,3.04899,-3.39465,842.7423333,0.247865392
2560,19888,3.04599,-3.39468,833.3126667,0.245091961
2570,19898,3.04287,-3.39482,823.8826111,0.242318415
2580,19908,3.03958,-3.39492,814.4522778,0.239544788
2590,19918,3.0362,-3.39472,805.0225,0.236771324
2600,19928,3.0327,-3.39486,795.5923333,0.233997745
2610,19938,3.02932,-3.39474,786.1625,0.231224265
