time,actual time,voltage,current,capacity,SoC
0,11562,4.13157,-0.00107733,2171,0.723666667
10,11572,3.75642,-3.00274,2171,0.723666667
20,11582,3.72113,-3.0028,2162.658889,0.720886296
30,11592,3.69051,-3.0027,2154.318056,0.718106019
40,11602,3.66406,-3.00292,2145.976611,0.715325537
50,11612,3.64093,-3.00293,2137.635139,0.712545046
60,11622,3.62083,-3.00276,2129.294139,0.709764713
70,11632,3.60234,-3.0027,2120.953306,0.706984435
80,11642,3.58706,-3.00272,2112.612417,0.704204139
90,11652,3.57342,-3.00257,2104.271944,0.701423981
100,11662,3.56096,-3.00258,2095.931444,0.698643815
110,11672,3.54873,-3.00257,2087.590972,0.695863657
120,11682,3.53759,-3.00253,2079.250611,0.693083537
130,11692,3.52704,-3.00262,2070.91,0.690303333
140,11702,3.51764,-3.00256,2062.569556,0.687523185
150,11712,3.50845,-3.00273,2054.228639,0.68474288
160,11722,3.50023,-3.0028,2045.887528,0.681962509
170,11732,3.49237,-3.00279,2037.546444,0.679182148
180,11742,3.48483,-3.00284,2029.205222,0.676401741
190,11752,3.4782,-3.00278,2020.864167,0.673621389
200,11762,3.47166,-3.00274,2012.523222,0.670841074
210,11772,3.46585,-3.00247,2004.183028,0.668061009
220,11782,3.45986,-3.00252,1995.842694,0.665280898
230,11792,3.45422,-3.00259,1987.502167,0.662500722
240,11802,3.44895,-3.00261,1979.161583,0.659720528
250,11812,3.44403,-3.00268,1970.820806,0.656940269
260,11822,3.43947,-3.00273,1962.479889,0.654159963
270,11832,3.43504,-3.0027,1954.139056,0.651379685
280,11842,3.43095,-3.00261,1945.798472,0.648599491
290,11852,3.42712,-3.00259,1937.457944,0.645819315
300,11862,3.4234,-3.00261,1929.117361,0.64303912
310,11872,3.42018,-3.00249,1920.777111,0.640259037
320,11882,3.41679,-3.00268,1912.436333,0.637478778
330,11892,3.4136,-3.00252,1904.096,0.634698667
340,11902,3.41048,-3.0024,1895.756,0.631918667
350,11912,3.4076,-3.00263,1887.415361,0.629138454
360,11922,3.40479,-3.00271,1879.0745,0.626358167
370,11932,3.40213,-3.00255,1870.734083,0.623578028
380,11942,3.39957,-3.00267,1862.393333,0.620797778
390,11952,3.39714,-3.00277,1854.052306,0.618017435
400,11962,3.39504,-3.00289,1845.710944,0.615236981
410,11972,3.39266,-3.00291,1837.369528,0.612456509
420,11982,3.39043,-3.00279,1829.028444,0.609676148
430,11992,3.38833,-3.00285,1820.687194,0.606895731
440,12002,3.38626,-3.00253,1812.346833,0.604115611
450,12012,3.38411,-3.00255,1804.006417,0.601335472
460,12022,3.38216,-3.00249,1795.666167,0.598555389
470,12032,3.38027,-3.00267,1787.325417,0.595775139
480,12042,3.37827,-3.00274,1778.984472,0.592994824
490,12052,3.37645,-3.00255,1770.644056,0.590214685
500,12062,3.37457,-3.00276,1762.303056,0.587434352
510,12072,3.37282,-3.0028,1753.961944,0.584653981
520,12082,3.37119,-3.00269,1745.621139,0.581873713
530,12092,3.36937,-3.00262,1737.280528,0.579093509
540,12102,3.36791,-3.00249,1728.940278,0.576313426
550,12112,3.36603,-3.00281,1720.599139,0.573533046
560,12122,3.36431,-3.00271,1712.258278,0.570752759
570,12132,3.36246,-3.00279,1703.917194,0.567972398
580,12142,3.36063,-3.00256,1695.57675,0.56519225
590,12152,3.35869,-3.00271,1687.235889,0.562411963
600,12162,3.35689,-3.00275,1678.894917,0.559631639
610,12172,3.35488,-3.00258,1670.554417,0.556851472
620,12182,3.35298,-3.00271,1662.213556,0.554071185
630,12192,3.35101,-3.00258,1653.873056,0.551291019
640,12202,3.34888,-3.00257,1645.532583,0.548510861
650,12212,3.34672,-3.00271,1637.191722,0.545730574
660,12222,3.34444,-3.00276,1628.850722,0.542950241
