time,actual time,voltage,current,capacity,SoC,dQ,dv,ICA
0,17739,4.11711,-0.00107356,1949,0.649666667,,,
10,17749,3.69084,-3.00255,1949,0.649666667,,,
20,17759,3.64874,-3.00274,1940.659056,0.646886352,-8.340944,-0.0421,0.198122185
30,17769,3.61302,-3.00285,1932.317806,0.644105935,-8.34125,-0.03572,0.233517637
40,17779,3.58202,-3.00265,1923.977111,0.641325704,-8.340695,-0.031,0.269054677
50,17789,3.55518,-3.00247,1915.636917,0.638545639,-8.340194,-0.02684,0.310737481
60,17799,3.53259,-3.00281,1907.295778,0.635765259,-8.341139,-0.02259,0.369240328
70,17809,3.51247,-3.00277,1898.95475,0.632984917,-8.341028,-0.02012,0.414564016
80,17819,3.4934,-3.00279,1890.613667,0.630204556,-8.341083,-0.01907,0.437392921
90,17829,3.47648,-3.00279,1882.272583,0.627424194,-8.341084,-0.01692,0.492971868
100,17839,3.46123,-3.00264,1873.931917,0.624643972,-8.340666,-0.01525,0.546928918
110,17849,3.44747,-3.00259,1865.591389,0.621863796,-8.340528,-0.01376,0.606143023
120,17859,3.43493,-3.00242,1857.251333,0.619083778,-8.340056,-0.01254,0.665076236
130,17869,3.42355,-3.00266,1848.910611,0.616303537,-8.340722,-0.01138,0.73292812
140,17879,3.41283,-3.00263,1840.569972,0.613523324,-8.340639,-0.01072,0.778044683
150,17889,3.40347,-3.00263,1832.229333,0.610743111,-8.340639,-0.00936,0.89109391
160,17899,3.3947,-3.00259,1823.888806,0.607962935,-8.340527,-0.00877,0.951029304
170,17909,3.38691,-3.00277,1815.547778,0.605182593,-8.341028,-0.00779,1.070735302
180,17919,3.37989,-3.0028,1807.206667,0.602402222,-8.341111,-0.00702,1.18819245
190,17929,3.37275,-3.00272,1798.865778,0.599621926,-8.340889,-0.00714,1.168191737
200,17939,3.36641,-3.00257,1790.525306,0.596841769,-8.340472,-0.00634,1.315531861
210,17949,3.36034,-3.00256,1782.184861,0.59406162,-8.340445,-0.00607,1.374043657
220,17959,3.35468,-3.00243,1773.844778,0.591281593,-8.340083,-0.00566,1.473512898
230,17969,3.34953,-3.00266,1765.504056,0.588501352,-8.340722,-0.00515,1.61955767
240,17979,3.34459,-3.00275,1757.163083,0.585721028,-8.340973,-0.00494,1.688456073
250,17989,3.34,-3.00256,1748.822639,0.58294088,-8.340444,-0.00459,1.817090196
260,17999,3.3357,-3.0028,1740.481528,0.580160509,-8.341111,-0.0043,1.939793256
270,18009,3.33169,-3.00264,1732.140861,0.577380287,-8.340667,-0.00401,2.079966833
280,18019,3.32801,-3.00274,1723.799917,0.574599972,-8.340944,-0.00368,2.26656087
290,18029,3.32474,-3.00275,1715.458944,0.571819648,-8.340973,-0.00327,2.550756269
300,18039,3.32147,-3.00259,1707.118417,0.569039472,-8.340527,-0.00327,2.550619878
310,18049,3.31755,-3.00257,1698.777944,0.566259315,-8.340473,-0.00392,2.127671684
320,18059,3.31518,-3.00256,1690.4375,0.563479167,-8.340444,-0.00237,3.519174684
330,18069,3.31226,-3.00263,1682.096861,0.560698954,-8.340639,-0.00292,2.856383219
340,18079,3.30955,-3.00257,1673.756389,0.557918796,-8.340472,-0.00271,3.077664945
350,18089,3.30699,-3.00255,1665.415972,0.555138657,-8.340417,-0.00256,3.257975391
360,18099,3.30453,-3.00253,1657.075611,0.552358537,-8.340361,-0.00246,3.39039065
370,18109,3.30218,-3.00289,1648.73425,0.549578083,-8.341361,-0.00235,3.549515319
380,18119,3.29971,-3.0025,1640.393972,0.546797991,-8.340278,-0.00247,3.376630769
390,18129,3.2977,-3.00278,1632.052917,0.544017639,-8.341055,-0.00201,4.149778607
400,18139,3.29568,-3.00255,1623.7125,0.5412375,-8.340417,-0.00202,4.128919307
410,18149,3.2936,-3.00231,1615.37275,0.538457583,-8.33975,-0.00208,4.009495192
420,18159,3.29158,-3.00259,1607.032222,0.535677407,-8.340528,-0.00202,4.128974257
430,18169,3.28932,-3.00273,1598.691306,0.532897102,-8.340916,-0.00226,3.690670796
440,18179,3.28763,-3.00264,1590.350639,0.53011688,-8.340667,-0.00169,4.935305917
450,18189,3.28562,-3.00267,1582.009889,0.52733663,-8.34075,-0.00201,4.149626866
460,18199,3.28362,-3.00259,1573.669361,0.524556454,-8.340528,-0.002,4.170264
470,18209,3.28169,-3.00255,1565.328944,0.521776315,-8.340417,-0.00193,4.321459585
480,18219,3.27988,-3.00268,1556.988167,0.518996056,-8.340777,-0.00181,4.608164088
490,18229,3.27808,-3.00263,1548.647528,0.516215843,-8.340639,-0.0018,4.633688333
500,18239,3.27609,-3.00269,1540.306722,0.513435574,-8.340806,-0.00199,4.191359799
510,18249,3.2744,-3.00275,1531.96575,0.51065525,-8.340972,-0.00169,4.935486391
520,18259,3.27268,-3.00287,1523.624444,0.507874815,-8.341306,-0.00172,4.849596512
530,18269,3.27044,-3.00264,1515.283778,0.505094593,-8.340666,-0.00224,3.723511607
540,18279,3.26861,-3.0025,1506.9435,0.5023145,-8.340278,-0.00183,4.557528962
550,18289,3.26672,-3.00246,1498.603333,0.499534444,-8.340167,-0.00189,4.412786772
560,18299,3.26471,-3.00264,1490.262667,0.496754222,-8.340666,-0.00201,4.149585075
570,18309,3.26273,-3.00273,1481.92175,0.493973917,-8.340917,-0.00198,4.212584343
580,18319,3.26057,-3.00252,1473.581417,0.491193806,-8.340333,-0.00216,3.861265278
590,18329,3.25843,-3.00273,1465.2405,0.4884135,-8.340917,-0.00214,3.897624766
600,18339,3.2563,-3.00243,1456.900417,0.485633472,-8.340083,-0.00213,3.915531925
610,18349,3.25422,-3.00271,1448.559556,0.482853185,-8.340861,-0.00208,4.010029327
620,18359,3.25201,-3.00268,1440.218778,0.480072926,-8.340778,-0.00221,3.774107692
630,18369,3.24968,-3.00274,1431.877833,0.477292611,-8.340945,-0.00233,3.579804721
640,18379,3.24731,-3.00256,1423.537389,0.474512463,-8.340444,-0.00237,3.519174684
650,18389,3.24482,-3.00263,1415.19675,0.47173225,-8.340639,-0.00249,3.349654217
660,18399,3.24229,-3.00262,1406.856139,0.468952046,-8.340611,-0.00253,3.29668419
670,18409,3.23976,-3.00267,1398.515389,0.466171796,-8.34075,-0.00253,3.29673913
680,18419,3.23724,-3.00273,1390.174472,0.463391491,-8.340917,-0.00252,3.309887698
690,18429,3.23429,-3.00247,1381.834278,0.460611426,-8.340194,-0.00295,2.827184407
700,18439,3.23162,-3.00255,1373.493861,0.457831287,-8.340417,-0.00267,3.123751685
710,18449,3.22878,-3.00268,1365.153083,0.455051028,-8.340778,-0.00284,2.936893662
720,18459,3.22606,-3.00283,1356.811889,0.45227063,-8.341194,-0.00272,3.066615441
730,18469,3.22333,-3.00264,1348.471222,0.449490407,-8.340667,-0.00273,3.055189377
740,18479,3.22029,-3.00253,1340.130861,0.446710287,-8.340361,-0.00304,2.743539803
750,18489,3.21712,-3.00274,1331.789917,0.443929972,-8.340944,-0.00317,2.631212618
760,18499,3.21377,-3.0027,1323.449083,0.441149694,-8.340834,-0.00335,2.489801194
770,18509,3.21068,-3.00262,1315.108472,0.438369491,-8.340611,-0.00309,2.699226861
780,18519,3.20738,-3.00269,1306.767667,0.435589222,-8.340805,-0.0033,2.527516667
790,18529,3.20399,-3.00246,1298.4275,0.432809167,-8.340167,-0.00339,2.460226254
800,18539,3.20082,-3.00262,1290.086889,0.430028963,-8.340611,-0.00317,2.631107571
810,18549,3.1974,-3.00264,1281.746222,0.427248741,-8.340667,-0.00342,2.43879152
820,18559,3.19412,-3.00253,1273.405861,0.42446862,-8.340361,-0.00328,2.542792988
830,18569,3.19096,-3.00267,1265.065111,0.42168837,-8.34075,-0.00316,2.639477848
840,18579,3.18777,-3.00228,1256.725444,0.418908481,-8.339667,-0.00319,2.614315674
850,18589,3.18466,-3.00268,1248.384667,0.416128222,-8.340777,-0.00311,2.681921865
860,18599,3.18116,-3.00266,1240.043944,0.413347981,-8.340723,-0.0035,2.383063714
870,18609,3.17788,-3.00262,1231.703333,0.410567778,-8.340611,-0.00328,2.542869207
880,18619,3.17455,-3.0025,1223.363056,0.407787685,-8.340277,-0.00333,2.504587688
890,18629,3.17118,-3.00295,1215.021528,0.405007176,-8.341528,-0.00337,2.475230861
900,18639,3.16774,-3.00259,1206.681,0.402227,-8.340528,-0.00344,2.424572093
910,18649,3.16458,-3.00248,1198.340778,0.399446926,-8.340222,-0.00316,2.639310759
920,18659,3.16125,-3.00247,1190.000583,0.396666861,-8.340195,-0.00333,2.504563063
930,18669,3.15817,-3.00252,1181.66025,0.39388675,-8.340333,-0.00308,2.707900325
940,18679,3.15498,-3.00265,1173.319556,0.391106519,-8.340694,-0.00319,2.614637618
950,18689,3.15178,-3.00266,1164.978833,0.388326278,-8.340723,-0.0032,2.606475937
960,18699,3.14853,-3.00255,1156.638417,0.385546139,-8.340416,-0.00325,2.566281846
970,18709,3.14507,-3.0026,1148.297861,0.382765954,-8.340556,-0.00346,2.410565318
980,18719,3.14175,-3.0027,1139.957028,0.379985676,-8.340833,-0.00332,2.512299096
990,18729,3.13854,-3.00272,1131.616139,0.37720538,-8.340889,-0.00321,2.598407788
1000,18739,3.13533,-3.00264,1123.275472,0.374425157,-8.340667,-0.00321,2.598338629
1010,18749,3.132,-3.0027,1114.934639,0.37164488,-8.340833,-0.00333,2.504754655
1020,18759,3.12878,-3.00278,1106.593583,0.368864528,-8.341056,-0.00322,2.590390062
1030,18769,3.12575,-3.00275,1098.252611,0.366084204,-8.340972,-0.00303,2.75279604
1040,18779,3.12255,-3.0026,1089.912056,0.363304019,-8.340555,-0.0032,2.606423437
1050,18789,3.11944,-3.00266,1081.571333,0.360523778,-8.340723,-0.00311,2.681904502
1060,18799,3.11611,-3.00256,1073.230889,0.35774363,-8.340444,-0.00333,2.504637838
1070,18809,3.11299,-3.00246,1064.890722,0.354963574,-8.340167,-0.00312,2.673130449
1080,18819,3.10969,-3.00235,1056.550861,0.35218362,-8.339861,-0.0033,2.527230606
1090,18829,3.1064,-3.00242,1048.210806,0.349403602,-8.340055,-0.00329,2.534971125
1100,18839,3.10334,-3.00269,1039.87,0.346623333,-8.340806,-0.00306,2.725753595
1110,18849,3.1,-3.00271,1031.529139,0.343843046,-8.340861,-0.00334,2.497263772
1120,18859,3.09687,-3.00247,1023.188944,0.341062981,-8.340195,-0.00313,2.664599042
1130,18869,3.09365,-3.00255,1014.848528,0.338282843,-8.340416,-0.00322,2.590191304
1140,18879,3.0906,-3.00256,1006.508083,0.335502694,-8.340445,-0.00305,2.734572131
1150,18889,3.08754,-3.00263,998.1674444,0.332722481,-8.3406386,-0.00306,2.725698889
1160,18899,3.08444,-3.00254,989.8270556,0.329942352,-8.3403888,-0.0031,2.690448
1170,18909,3.08128,-3.00277,981.4860278,0.327162009,-8.3410278,-0.00316,2.639565759
1180,18919,3.07767,-3.00265,973.1453333,0.324381778,-8.3406945,-0.00361,2.31044169
1190,18929,3.07464,-3.00273,964.8044167,0.321601472,-8.3409166,-0.00303,2.752777756
1200,18939,3.07136,-3.00256,956.4639722,0.318821324,-8.3404445,-0.00328,2.542818445
1210,18949,3.0681,-3.00263,948.1233333,0.316041111,-8.3406389,-0.00326,2.55847819
1220,18959,3.06471,-3.00259,939.7828056,0.313260935,-8.3405277,-0.00339,2.460332655
1230,18969,3.06146,-3.0026,931.44225,0.31048075,-8.3405556,-0.00325,2.5663248
1240,18979,3.05816,-3.00278,923.1011944,0.307700398,-8.3410556,-0.0033,2.527592606
1250,18989,3.0549,-3.00258,914.7606944,0.304920231,-8.3405,-0.00326,2.558435583
1260,18999,3.05173,-3.00274,906.41975,0.302139917,-8.3409444,-0.00317,2.631212744
1270,19009,3.04848,-3.00257,898.0792778,0.299359759,-8.3404722,-0.00325,2.566299138
1280,19019,3.04508,-3.00258,889.7387778,0.296579593,-8.3405,-0.0034,2.453088235
1290,19029,3.04158,-3.00256,881.3983333,0.293799444,-8.3404445,-0.0035,2.382984143
1300,19039,3.03822,-3.00262,873.0577222,0.291019241,-8.3406111,-0.00336,2.482324732
1310,19049,3.03472,-3.00267,864.7169722,0.288238991,-8.34075,-0.0035,2.383071429
1320,19059,3.0314,-3.00264,856.3763056,0.285458769,-8.3406666,-0.00332,2.512248976
1330,19069,3.02787,-3.00255,848.0358889,0.28267863,-8.3404167,-0.00353,2.362724278
1340,19079,3.02436,-3.00253,839.6955278,0.279898509,-8.3403611,-0.00351,2.376171254
1350,19089,3.02111,-3.00257,831.3550556,0.277118352,-8.3404722,-0.00325,2.566299138
1360,19099,3.0178,-3.0024,823.0150556,0.274338352,-8.34,-0.00331,2.519637462
1370,19109,3.01441,-3.00262,814.6744444,0.271558148,-8.3406112,-0.00339,2.460357286
1380,19119,3.01084,-3.0027,806.3336111,0.26877787,-8.3408333,-0.00357,2.336367871
1390,19129,3.00719,-3.00252,797.9932778,0.265997759,-8.3403333,-0.00365,2.285022822
1400,19139,3.00396,-3.00252,789.6529444,0.263217648,-8.3403334,-0.00323,2.582146563
1410,19149,3.0002,-3.00267,781.3121944,0.260437398,-8.34075,-0.00376,2.218284574
1420,19159,2.99678,-3.00255,772.9717778,0.257657259,-8.3404166,-0.00342,2.438718304
1430,19169,2.99329,-3.00242,764.6317222,0.254877241,-8.3400556,-0.00349,2.389700745
1440,19179,2.98978,-3.00259,756.2911944,0.252097065,-8.3405278,-0.00351,2.376218746
1450,19189,2.98656,-3.00264,747.9505278,0.249316843,-8.3406666,-0.00322,2.59026913
1460,19199,2.98319,-3.00271,739.6096667,0.246536556,-8.3408611,-0.00337,2.475032967
1470,19209,2.97969,-3.00283,731.2684722,0.243756157,-8.3411945,-0.0035,2.383198429
1480,19219,2.97639,-3.00254,722.9280833,0.240976028,-8.3403889,-0.0033,2.527390576
1490,19229,2.97301,-3.00247,714.5878889,0.238195963,-8.3401944,-0.00338,2.467513136
1500,19239,2.96959,-3.00254,706.2475,0.235415833,-8.3403889,-0.00342,2.438710205
1510,19249,2.96623,-3.00268,697.9067222,0.232635574,-8.3407778,-0.00336,2.482374345
1520,19259,2.96292,-3.00266,689.566,0.229855333,-8.3407222,-0.00331,2.51985565
1530,19269,2.95953,-3.00258,681.2255,0.227075167,-8.3405,-0.00339,2.460324484
1540,19279,2.95625,-3.00257,672.8850278,0.224295009,-8.3404722,-0.00328,2.54282689
1550,19289,2.95274,-3.00265,664.5443333,0.221514778,-8.3406945,-0.00351,2.376266239
1560,19299,2.94991,-3.00265,656.2036389,0.218734546,-8.3406944,-0.00283,2.947241837
1570,19309,2.94673,-3.00257,647.8631667,0.215954389,-8.3404722,-0.00318,2.62279
1580,19319,2.94368,-3.00255,639.52275,0.21317425,-8.3404167,-0.00305,2.734562852
1590,19329,2.94018,-3.00248,631.1825278,0.210394176,-8.3402222,-0.0035,2.382920629
1600,19339,2.93686,-3.0025,622.84225,0.207614083,-8.3402778,-0.00332,2.512131867
1610,19349,2.93366,-3.00231,614.5025,0.204834167,-8.33975,-0.0032,2.606171875
1620,19359,2.93038,-3.00265,606.1618056,0.202053935,-8.3406944,-0.00328,2.542894634
1630,19369,2.92723,-3.00242,597.82175,0.199273917,-8.3400556,-0.00315,2.647636698
1640,19379,2.92389,-3.0026,589.4811944,0.196493731,-8.3405556,-0.00334,2.497172335
1650,19389,2.92069,-3.00252,581.1408611,0.19371362,-8.3403333,-0.0032,2.606354156
1660,19399,2.9174,-3.00261,572.8002778,0.190933426,-8.3405833,-0.00329,2.535131702
1670,19409,2.91441,-3.00236,564.4603889,0.188153463,-8.3398889,-0.00299,2.789260502
1680,19419,2.91118,-3.00262,556.1197778,0.185373259,-8.3406111,-0.00323,2.582232539
1690,19429,2.90806,-3.00241,547.77975,0.18259325,-8.3400278,-0.00312,2.673085833
1700,19439,2.90476,-3.00245,539.4396111,0.179813204,-8.3401389,-0.0033,2.527314818
1710,19449,2.90093,-3.00237,531.0996944,0.177033231,-8.3399167,-0.00383,2.177523943
1720,19459,2.89813,-3.00197,522.7608889,0.17425363,-8.3388055,-0.0028,2.978144821
1730,19469,2.8947,-3.0023,514.4211667,0.171473722,-8.3397222,-0.00343,2.431405889
1740,19479,2.8912,-3.00246,506.081,0.168693667,-8.3401667,-0.0035,2.382904771
1750,19489,2.88786,-3.00262,497.7403889,0.165913463,-8.3406111,-0.00334,2.497188952
1760,19499,2.8843,-3.00244,489.4002778,0.163133426,-8.3401111,-0.00356,2.342727837
1770,19509,2.88078,-3.00207,481.0611944,0.160353731,-8.3390834,-0.00352,2.369057784
1780,19519,2.87731,-3.00238,472.72125,0.15757375,-8.3399444,-0.00347,2.40344219
1790,19529,2.87368,-3.00268,464.3804722,0.154793491,-8.3407778,-0.00363,2.297734931
1800,19539,2.86989,-3.00252,456.0401389,0.15201338,-8.3403333,-0.00379,2.200615646
1810,19549,2.86617,-3.00255,447.6997222,0.149233241,-8.3404167,-0.00372,2.2420475
1820,19559,2.86226,-3.00244,439.3596111,0.146453204,-8.3401111,-0.00391,2.133020742
1830,19569,2.85826,-3.00255,431.0191944,0.143673065,-8.3404167,-0.004,2.085104175
1840,19579,2.85412,-3.00257,422.6787222,0.140892907,-8.3404722,-0.00414,2.014606812
1850,19589,2.84986,-3.00253,414.3383611,0.138112787,-8.3403611,-0.00426,1.957831244
1860,19599,2.84544,-3.00261,405.9977778,0.135332593,-8.3405833,-0.00442,1.887009796
1870,19609,2.84111,-3.00259,397.65725,0.132552417,-8.3405278,-0.00433,1.926218891
1880,19619,2.83648,-3.00257,389.3167778,0.129772259,-8.3404722,-0.00463,1.801397883
1890,19629,2.83205,-3.00248,380.9765556,0.126992185,-8.3402222,-0.00443,1.882668668
1900,19639,2.82767,-3.00256,372.6361111,0.124212037,-8.3404445,-0.00438,1.904211073
1910,19649,2.82269,-3.00257,364.2956389,0.12143188,-8.3404722,-0.00498,1.674793614
1920,19659,2.8177,-3.00255,355.9552222,0.118651741,-8.3404167,-0.00499,1.671426192
1930,19669,2.81275,-3.00264,347.6145556,0.115871519,-8.3406666,-0.00495,1.684983152
1940,19679,2.80772,-3.00242,339.2745,0.1130915,-8.3400556,-0.00503,1.658062744
1950,19689,2.80246,-3.00244,330.9343889,0.110311463,-8.3401111,-0.00526,1.585572452
1960,19699,2.79705,-3.00234,322.5945556,0.107531519,-8.3398333,-0.00541,1.541558835
1970,19709,2.79189,-3.00232,314.2547778,0.104751593,-8.3397778,-0.00516,1.616236008
1980,19719,2.78625,-3.00245,305.9146389,0.101971546,-8.3401389,-0.00564,1.478748032
1990,19729,2.78071,-3.00272,297.57375,0.09919125,-8.3408889,-0.00554,1.505575614
2000,19739,2.77526,-3.00232,289.2339722,0.096411324,-8.3397778,-0.00545,1.530234459
2010,19749,2.76969,-3.00255,280.8935556,0.093631185,-8.3404166,-0.00557,1.497381795
2020,19759,2.76384,-3.00261,272.5529722,0.090850991,-8.3405834,-0.00585,1.425740752
2030,19769,2.75767,-3.00241,264.2129444,0.088070981,-8.3400278,-0.00617,1.351706288
2040,19779,2.75146,-3.00267,255.8721944,0.085290731,-8.34075,-0.00621,1.343115942
2050,19789,2.74527,-3.00244,247.5320833,0.082510694,-8.3401111,-0.00619,1.347352359
2060,19799,2.73887,-3.00245,239.1919444,0.079730648,-8.3401389,-0.0064,1.303146703
2070,19809,2.73203,-3.00247,230.85175,0.076950583,-8.3401944,-0.00684,1.219326667
2080,19819,2.72546,-3.00266,222.5110278,0.074170343,-8.3407222,-0.00657,1.269516317
2090,19829,2.71847,-3.00283,214.1698333,0.071389944,-8.3411945,-0.00699,1.193303934
2100,19839,2.71086,-3.0024,205.8298333,0.068609944,-8.34,-0.00761,1.095926413
2110,19849,2.7039,-3.00218,197.4904444,0.065830148,-8.3393889,-0.00696,1.19818806
2120,19859,2.6967,-3.00239,189.1504722,0.063050157,-8.3399722,-0.0072,1.158329472
2130,19869,2.68934,-3.0025,180.8101944,0.060270065,-8.3402778,-0.00736,1.133189918
2140,19879,2.68139,-3.00253,172.4698333,0.057489944,-8.3403611,-0.00795,1.049102025
2150,19889,2.67329,-3.00253,164.1294722,0.054709824,-8.3403611,-0.0081,1.02967421
2160,19899,2.66471,-3.00256,155.7890278,0.051929676,-8.3404444,-0.00858,0.972079767
2170,19909,2.65597,-3.00248,147.4488056,0.049149602,-8.3402222,-0.00874,0.954258833
2180,19919,2.64659,-3.00238,139.1088611,0.04636962,-8.3399445,-0.00938,0.889119883
