time,actual time,voltage,current,capacity,SoC,dQ,dv,ICA
0,13659,4.17877,-0.00108964,3881,0.97025,,,
10,13669,3.8563,-3.99479,3881,0.97025,,,
20,13679,3.83897,-3.99486,3869.903167,0.967475792,-11.096833,-0.01733,0.640325043
30,13689,3.82758,-3.99498,3858.806,0.9647015,-11.097167,-0.01139,0.974290342
40,13699,3.81867,-3.99477,3847.709417,0.961927354,-11.096583,-0.00891,1.245407744
50,13709,3.81097,-3.9948,3836.61275,0.959153188,-11.096667,-0.0077,1.441125584
60,13719,3.80479,-3.99478,3825.516139,0.956379035,-11.096611,-0.00618,1.795568123
70,13729,3.7996,-3.99487,3814.419278,0.953604819,-11.096861,-0.00519,2.138123507
80,13739,3.79446,-3.99499,3803.322083,0.950830521,-11.097195,-0.00514,2.158987354
90,13749,3.78969,-3.99486,3792.22525,0.948056313,-11.096833,-0.00477,2.326380084
100,13759,3.78542,-3.99487,3781.128389,0.945282097,-11.096861,-0.00427,2.598796487
110,13769,3.78131,-3.99494,3770.031333,0.942507833,-11.097056,-0.00411,2.700013625
120,13779,3.77752,-3.99498,3758.934167,0.939733542,-11.097166,-0.00379,2.928012137
130,13789,3.77404,-3.99485,3747.837361,0.93695934,-11.096806,-0.00348,3.188737356
140,13799,3.77098,-3.99484,3736.740583,0.934185146,-11.096778,-0.00306,3.626398039
150,13809,3.76807,-3.99457,3725.644556,0.931411139,-11.096027,-0.00291,3.813067698
160,13819,3.76539,-3.99481,3714.547861,0.928636965,-11.096695,-0.00268,4.140557836
170,13829,3.7629,-3.99493,3703.450833,0.925862708,-11.097028,-0.00249,4.456637751
180,13839,3.76054,-3.99489,3692.353917,0.923088479,-11.096916,-0.00236,4.702083051
190,13849,3.75836,-3.99485,3681.257111,0.920314278,-11.096806,-0.00218,5.090277982
200,13859,3.75638,-3.99503,3670.159806,0.917539951,-11.097305,-0.00198,5.604699495
210,13869,3.75427,-3.99489,3659.062889,0.914765722,-11.096917,-0.00211,5.25920237
220,13879,3.75242,-3.99495,3647.965806,0.911991451,-11.097083,-0.00185,5.998423243
230,13889,3.75049,-3.99493,3636.868778,0.909217194,-11.097028,-0.00193,5.74975544
240,13899,3.7488,-3.99488,3625.771889,0.906442972,-11.096889,-0.00169,6.566206509
250,13909,3.74708,-3.99484,3614.675111,0.903668778,-11.096778,-0.00172,6.451615116
260,13919,3.74541,-3.99493,3603.578083,0.900894521,-11.097028,-0.00167,6.644926946
270,13929,3.74363,-3.99496,3592.480972,0.898120243,-11.097111,-0.00178,6.234332022
280,13939,3.74217,-3.99465,3581.384722,0.895346181,-11.09625,-0.00146,7.600171233
290,13949,3.74076,-3.99469,3570.288361,0.89257209,-11.096361,-0.00141,7.869759574
300,13959,3.73934,-3.99484,3559.191583,0.889797896,-11.096778,-0.00142,7.814632394
310,13969,3.73776,-3.99467,3548.095278,0.887023819,-11.096305,-0.00158,7.022977848
320,13979,3.73634,-3.99478,3536.998667,0.884249667,-11.096611,-0.00142,7.814514789
330,13989,3.73498,-3.99484,3525.901889,0.881475472,-11.096778,-0.00136,8.159395588
340,13999,3.73352,-3.99507,3514.804472,0.878701118,-11.097417,-0.00146,7.600970548
