time,actual time,voltage,current,capacity,SoC
0,31556,4.169,-0.00108709,4135,0.98452381
10,31566,3.85675,-4.2034,4135,0.98452381
20,31576,3.83752,-4.20351,4123.323583,0.98174371
30,31586,3.82392,-4.20337,4111.647556,0.978963704
40,31596,3.81368,-4.20334,4099.971611,0.976183717
50,31606,3.8053,-4.20336,4088.295611,0.973403717
60,31616,3.79827,-4.20323,4076.619972,0.970623803
70,31626,3.79235,-4.20349,4064.943611,0.967843717
80,31636,3.78728,-4.20326,4053.267889,0.965063783
90,31646,3.78283,-4.20343,4041.591694,0.962283737
100,31656,3.77838,-4.20311,4029.916389,0.959503902
110,31666,3.7746,-4.2035,4018.24,0.95672381
120,31676,3.77083,-4.20316,4006.564556,0.953943942
130,31686,3.76732,-4.20331,3994.888694,0.951163975
140,31696,3.76397,-4.20325,3983.213,0.948384048
150,31706,3.7609,-4.20348,3971.536667,0.945603968
160,31716,3.75797,-4.20334,3959.860722,0.942823981
170,31726,3.75526,-4.20349,3948.184361,0.940043896
180,31736,3.75247,-4.20336,3936.508361,0.937263896
190,31747,3.75004,-4.20337,3924.832333,0.934483889
200,31757,3.74785,-4.20339,3913.15625,0.931703869
210,31767,3.74541,-4.20305,3901.481111,0.928924074
220,31777,3.74319,-4.20317,3889.805639,0.9261442
230,31787,3.74096,-4.20334,3878.129694,0.923364213
240,31797,3.73894,-4.2032,3866.454139,0.920584319
250,31807,3.73687,-4.20314,3854.77875,0.917804464
260,31817,3.7348,-4.20329,3843.102944,0.915024511
270,31827,3.73283,-4.20333,3831.427028,0.91224453
280,31837,3.73075,-4.20322,3819.751417,0.909464623
290,31847,3.72896,-4.20324,3808.07575,0.906684702
300,31857,3.72722,-4.20347,3796.399444,0.90390463
310,31867,3.72535,-4.20321,3784.723861,0.901124729
320,31877,3.72371,-4.20353,3773.047389,0.898344616
330,31887,3.72193,-4.20322,3761.371778,0.895564709
340,31897,3.72026,-4.20337,3749.69575,0.892784702
350,31907,3.71847,-4.20334,3738.019806,0.890004716
360,31917,3.71672,-4.20322,3726.344194,0.887224808
370,31927,3.71485,-4.20328,3714.668417,0.884444861
380,31937,3.71312,-4.20324,3702.99275,0.88166494
390,31947,3.71135,-4.2032,3691.317194,0.878885046
400,31957,3.7095,-4.20347,3679.640889,0.876104974
410,31967,3.70783,-4.20334,3667.964944,0.873324987
420,31977,3.70587,-4.20326,3656.289222,0.870545053
430,31987,3.70423,-4.20351,3644.612806,0.867764954
440,31997,3.70247,-4.20324,3632.937139,0.864985033
450,32007,3.70069,-4.20351,3621.260722,0.862204934
460,32017,3.69894,-4.20352,3609.584278,0.859424828
470,32027,3.69689,-4.20328,3597.9085,0.856644881
480,32037,3.69503,-4.20325,3586.232806,0.853864954
490,32047,3.69311,-4.20356,3574.55625,0.851084821
500,32057,3.69129,-4.20328,3562.880472,0.848304874
510,32067,3.68934,-4.20303,3551.205389,0.845525093
520,32077,3.6874,-4.20312,3539.530056,0.842745251
530,32087,3.68553,-4.20333,3527.854139,0.839965271
540,32097,3.68344,-4.20337,3516.178111,0.837185265
550,32107,3.68152,-4.20341,3504.501972,0.834405231
560,32117,3.67963,-4.20342,3492.825806,0.831625192
570,32127,3.67771,-4.20326,3481.150083,0.828845258
580,32137,3.67589,-4.20306,3469.474917,0.826065456
590,32147,3.6738,-4.20323,3457.799278,0.823285542
600,32157,3.6718,-4.20323,3446.123639,0.820505628
610,32167,3.66985,-4.20318,3434.448139,0.817725747
620,32177,3.66788,-4.20323,3422.7725,0.814945833
630,32187,3.66589,-4.20342,3411.096333,0.812165794
640,32197,3.66382,-4.20319,3399.420806,0.809385906
650,32207,3.66182,-4.20328,3387.745028,0.806605959
660,32217,3.65978,-4.20333,3376.069111,0.803825979
670,32227,3.65784,-4.20317,3364.393639,0.801046104
680,32237,3.65606,-4.20332,3352.71775,0.798266131
690,32247,3.65395,-4.2033,3341.041917,0.795486171
700,32257,3.65199,-4.20337,3329.365889,0.792706164
710,32267,3.64997,-4.20327,3317.690139,0.789926224
720,32277,3.64806,-4.20332,3306.01425,0.78714625
730,32287,3.64591,-4.20352,3294.337806,0.784366144
740,32297,3.64386,-4.20322,3282.662194,0.781586237
750,32307,3.64185,-4.20344,3270.985972,0.778806184
760,32317,3.63986,-4.20348,3259.309639,0.776026104
770,32327,3.63805,-4.20336,3247.633639,0.773246104
780,32337,3.63593,-4.20319,3235.958111,0.770466217
790,32347,3.634,-4.20316,3224.282667,0.767686349
800,32357,3.63211,-4.20336,3212.606667,0.764906349
810,32367,3.63026,-4.20336,3200.930667,0.762126349
820,32377,3.62828,-4.2034,3189.254556,0.759346323
830,32387,3.62626,-4.20331,3177.578694,0.756566356
840,32397,3.62433,-4.20323,3165.903056,0.753786442
850,32407,3.62231,-4.20317,3154.227583,0.751006567
860,32417,3.62037,-4.20331,3142.551722,0.748226601
