time,actual time,voltage,current,capacity,SoC
0,48540,4.18449,-0.00109113,2860,0.953333333
10,48550,3.92305,-3.00277,2851.658972,0.950552991
20,48560,3.90326,-3.0028,2843.317861,0.94777262
30,48570,3.89006,-3.00272,2834.976972,0.944992324
40,48580,3.88089,-3.00289,2826.635611,0.94221187
50,48590,3.87399,-3.00275,2818.294639,0.939431546
60,48600,3.8674,-3.00275,2809.953667,0.936651222
70,48610,3.8622,-3.00275,2801.612694,0.933870898
80,48620,3.85752,-3.00279,2793.271611,0.931090537
90,48630,3.85331,-3.00272,2784.930722,0.928310241
100,48640,3.85002,-3.00271,2776.589861,0.925529954
110,48650,3.84626,-3.00274,2768.248917,0.922749639
120,48660,3.84312,-3.00287,2759.907611,0.919969204
130,48670,3.84007,-3.00266,2751.566889,0.917188963
140,48680,3.83758,-3.00298,2743.225278,0.914408426
150,48690,3.83514,-3.00272,2734.884389,0.91162813
160,48700,3.83267,-3.00277,2726.543361,0.908847787
170,48710,3.83025,-3.00245,2718.203222,0.906067741
180,48720,3.82819,-3.00265,2709.862528,0.903287509
190,48730,3.82601,-3.00278,2701.521472,0.900507157
200,48740,3.82388,-3.00278,2693.180417,0.897726806
210,48750,3.82195,-3.00285,2684.839167,0.894946389
220,48760,3.81998,-3.00278,2676.498111,0.892166037
230,48770,3.8181,-3.00264,2668.157444,0.889385815
240,48780,3.81632,-3.00258,2659.816944,0.886605648
250,48790,3.81447,-3.00253,2651.476583,0.883825528
260,48800,3.81287,-3.00259,2643.136056,0.881045352
270,48810,3.81112,-3.00268,2634.795278,0.878265093
280,48820,3.80947,-3.00262,2626.454667,0.875484889
290,48830,3.80771,-3.00254,2618.114278,0.872704759
300,48840,3.80603,-3.00266,2609.773556,0.869924519
310,48850,3.80423,-3.00281,2601.432417,0.867144139
320,48860,3.8026,-3.00292,2593.090972,0.864363657
330,48870,3.80088,-3.00278,2584.749917,0.861583306
340,48880,3.79935,-3.00281,2576.408778,0.858802926
350,48890,3.79749,-3.00287,2568.067472,0.856022491
360,48900,3.7959,-3.00277,2559.726444,0.853242148
370,48910,3.79424,-3.00279,2551.385361,0.850461787
380,48920,3.79273,-3.00273,2543.044444,0.847681481
390,48930,3.79089,-3.00276,2534.703444,0.844901148
400,48940,3.78922,-3.00268,2526.362667,0.842120889
410,48950,3.78736,-3.00258,2518.022167,0.839340722
420,48960,3.78564,-3.00266,2509.681444,0.836560481
430,48970,3.78369,-3.0028,2501.340333,0.833780111
440,48980,3.78194,-3.00282,2492.999167,0.830999722
450,48990,3.78,-3.00264,2484.6585,0.8282195
460,49000,3.77801,-3.00261,2476.317917,0.825439306
470,49010,3.77601,-3.00258,2467.977417,0.822659139
480,49020,3.77417,-3.0027,2459.636583,0.819878861
490,49030,3.77209,-3.00264,2451.295917,0.817098639
500,49040,3.76982,-3.00277,2442.954889,0.814318296
510,49050,3.76769,-3.0029,2434.6135,0.811537833
520,49060,3.76548,-3.00272,2426.272611,0.808757537
530,49070,3.76302,-3.00262,2417.932,0.805977333
540,49080,3.7605,-3.0027,2409.591167,0.803197056
550,49090,3.758,-3.00253,2401.250806,0.800416935
560,49100,3.75531,-3.00262,2392.910194,0.797636731
570,49110,3.75252,-3.00286,2384.568917,0.794856306
580,49120,3.74995,-3.00268,2376.228139,0.792076046
590,49130,3.74707,-3.00267,2367.887389,0.789295796
600,49140,3.74412,-3.00269,2359.546583,0.786515528
610,49150,3.74122,-3.00289,2351.205222,0.783735074
620,49160,3.73798,-3.00286,2342.863944,0.780954648
630,49170,3.73491,-3.00274,2334.523,0.778174333
640,49180,3.73164,-3.00272,2326.182111,0.775394037
650,49190,3.72821,-3.0029,2317.840722,0.772613574
660,49200,3.72471,-3.00288,2309.499389,0.76983313
670,49210,3.72158,-3.00275,2301.158417,0.767052806
680,49220,3.7184,-3.00285,2292.817167,0.764272389
690,49230,3.71514,-3.0027,2284.476333,0.761492111
700,49240,3.71165,-3.00278,2276.135278,0.758711759
710,49250,3.70825,-3.0028,2267.794167,0.755931389
720,49260,3.70475,-3.00273,2259.45325,0.753151083
730,49270,3.70127,-3.00255,2251.112833,0.750370944
740,49280,3.69771,-3.00256,2242.772389,0.747590796
750,49290,3.69425,-3.0026,2234.431833,0.744810611
760,49300,3.69075,-3.00275,2226.090861,0.742030287
770,49310,3.687,-3.00284,2217.749639,0.73924988
780,49320,3.68388,-3.00271,2209.408778,0.736469593
790,49330,3.68065,-3.00271,2201.067917,0.733689306
800,49340,3.67741,-3.0027,2192.727083,0.730909028
810,49350,3.67405,-3.0028,2184.385972,0.728128657
820,49360,3.67081,-3.00242,2176.045917,0.725348639
830,49370,3.66729,-3.00274,2167.704972,0.722568324
